Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First-Time Undergraduate Transfer Students  (College Station),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2013,White Only,,,American Indian Only,,,Asian Only,,,Black Only + 2 or more/1 Black,,,Hispanic or Latino of any Race,,,Native Hawaii Only,,2 or More/Excluding Black,,,International,,,Unknown or Not Reported,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,721,729,"1,450",6,6,12,29,45,74,20,25,45,157,194,351,1,1,27,23,50,35,53,88,5,1,6,"1,001","1,076","2,077",
TAMU Age               <18,1,,1,,,,1,,1,,,,,,,,,,,,,,,,,,2,,2,
18-21,633,584,"1,217",6,5,11,19,31,50,15,20,35,131,152,283,,,24,17,41,20,34,54,3,1,4,851,844,"1,695",
22-25,57,96,153,,1,1,9,9,18,5,3,8,20,28,48,1,1,2,5,7,13,16,29,2,,2,109,158,267,
26-30,17,31,48,,,,,5,5,,1,1,5,9,14,,,,,,1,3,4,,,,23,49,72,
31-39,5,12,17,,,,,,,,,,,5,5,,,,1,1,1,,1,,,,6,18,24,
40+,8,6,14,,,,,,,,1,1,1,,1,,,1,,1,,,,,,,10,7,17,
Classification/Deg  Freshman,52,46,98,,,,3,1,4,1,3,4,6,14,20,,,3,,3,1,1,2,,,,66,65,131,
Sophomore,401,390,791,5,4,9,14,19,33,9,11,20,83,97,180,,,13,13,26,7,16,23,3,1,4,535,551,"1,086",
Junior,249,262,511,1,2,3,9,21,30,10,10,20,65,72,137,1,1,11,9,20,20,28,48,2,,2,368,404,772,
Senior,19,31,50,,,,3,4,7,,1,1,3,11,14,,,,1,1,7,8,15,,,,32,56,88,
Tuition Status          Resident Tuition,691,701,"1,392",6,6,12,27,40,67,17,23,40,154,189,343,1,1,27,22,49,,,,4,,4,927,981,"1,908",
Non-Resident Tuition,16,8,24,,,,1,,1,2,2,4,2,1,3,,,,,,21,31,52,,1,1,42,43,85,
Tuition Exemption/Waiver,14,20,34,,,,1,5,6,1,,1,1,4,5,,,,1,1,14,22,36,1,,1,32,52,84,
Residency Status    Texas Resident,691,705,"1,396",6,6,12,27,43,70,18,23,41,157,191,348,1,1,27,22,49,,,,4,1,5,931,991,"1,922",
"Non-TX, US Resident",30,24,54,,,,2,2,4,2,2,4,,3,3,,,,1,1,,,,1,,1,35,32,67,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,35,53,88,,,,35,53,88,
SCH Categories       < 6 SCH,3,3,6,,,,,,,,,,1,2,3,,,,,,,,,,,,4,5,9,
6-8 SCH,5,7,12,,,,,,,,,,1,,1,,,,1,1,,,,,,,6,8,14,
9-11 SCH,13,14,27,,,,1,2,3,,1,1,1,2,3,,,1,,1,,1,1,,,,16,20,36,
12-14 SCH,310,410,720,3,4,7,17,26,43,7,11,18,89,116,205,1,1,7,16,23,11,28,39,1,,1,446,611,"1,057",
15-17 SCH,377,292,669,3,2,5,10,17,27,13,13,26,63,74,137,,,18,6,24,20,15,35,3,,3,507,419,926,
>17 SCH,13,3,16,,,,1,,1,,,,2,,2,,,1,,1,4,9,13,1,1,2,22,13,35,
Ft/Pt:  TAMU          Less Than Half Time,3,3,6,,,,,,,,,,1,2,3,,,,,,,,,,,,4,5,9,
Half-Time,18,21,39,,,,1,2,3,,1,1,2,2,4,,,1,1,2,,1,1,,,,22,28,50,
Full-Time,700,705,"1,405",6,6,12,28,43,71,20,24,44,154,190,344,1,1,26,22,48,35,52,87,5,1,6,975,"1,043","2,018",
Top 10% Texas        No,638,672,"1,310",5,5,10,26,41,67,18,23,41,139,170,309,,,24,23,47,35,53,88,5,1,6,890,988,"1,878",
"High School
Yes",83,57,140,1,1,2,3,4,7,2,2,4,18,24,42,1,1,3,,3,,,,,,,111,88,199,
First Generation     No,496,520,"1,016",3,4,7,22,26,48,11,11,22,76,102,178,1,1,20,12,32,,,,2,1,3,631,676,"1,307",
Unknown,22,36,58,,1,1,4,5,9,2,3,5,5,4,9,,,,2,2,35,52,87,2,,2,70,103,173,
Yes,203,173,376,3,1,4,3,14,17,7,11,18,76,88,164,,,7,9,16,,1,1,1,,1,300,297,597,
Dorm / Off-             Off-campus,714,696,"1,410",6,5,11,29,39,68,18,20,38,152,172,324,1,1,27,21,48,35,44,79,4,1,5,986,998,"1,984",
Dorm (On-campus),7,33,40,,1,1,,6,6,2,5,7,5,22,27,,,,2,2,,9,9,1,,1,15,78,93,
Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ree Objective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
campus students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by DARS, 30 Oct 13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
