Ethnicity Black Only + 2 or more/1 Black,,,,,,,,,,,,,,
Headcount by Major by Classification / Degree Objective by Ethnicity,,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,,
Fall 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Architecture,ARCH,,,,,,1,1,,,,,1,
COMG,,,,,,,4,4,,,,,4,
COSC,,,,1,4,5,,,,,,,5,
COSL,,1,2,3,,6,,,,,,,6,
ENDL,,3,3,1,,7,,,,,,,7,
ENDS,,,,1,,1,,,,,,,1,
LPDV,,,,,,,1,1,,,,,1,
URPL,,,,,,,5,5,,,,,5,
URPN,,,,,,,,,,,,,,
URSC,,,,,,,,,4,4,,,4,
USAR,,5,3,1,,9,,,,,,,9,
VISL,,1,2,,1,4,,,,,,,4,
VIST,,,,,1,1,,,,,,,1,
Subtotal,,10,10,7,6,33,11,11,4,4,,,48,
Business,ACCT,,,8,5,13,3,3,2,2,,,18,
Admin,AGBU,,,,,,,,,,,,,
BHNR,,,,1,,1,,,,,,,1,
BUAD,,37,11,1,,49,4,4,,,,,53,
BUAG,,1,,,,1,,,,,,,1,
EMBA,,,,,,,7,7,,,,,7,
FINC,,,,2,2,4,,,,,,,4,
INFO,,,,,,,,,,,,,,
MGMT,,,,4,5,9,1,1,2,2,,,12,
MISY,,,,4,4,8,1,1,,,,,9,
MKTG,,,,3,2,5,1,1,,,,,6,
MLER,,,,,,,,,,,,,,
PMBA,,,,,,,1,1,,,,,1,
SCMT,,,,2,2,4,,,,,,,4,
USBU,,,1,3,5,9,,,,,,,9,
Subtotal,,38,12,28,25,103,18,18,4,4,,,125,
Education,ATTR,,,,,,6,6,,,,,6,
BIED,,,,,,,,,,,,,,
CPSY,,,,,,,,,7,7,,,7,
EDAD,,,,,,,6,6,26,26,,,32,
EDCI,,,,,,,12,12,33,33,,,45,
EDHL,,22,10,11,6,49,,,,,,,49,
EDIS,,13,3,2,,18,,,,,,,18,
EDKI,,19,7,4,,30,,,,,,,30,
EDSM,,20,11,8,4,43,,,,,,,43,
EHRD,,,,,,,6,6,17,17,,,23,
EPSY,,,,,,,2,2,1,1,,,3,
GENE,,,,,,,,,,,,,,
HEED,,,,,,,2,2,6,6,,,8,
HLTH,,,,,11,11,,,,,,,11,
HRDL,,6,1,1,,8,,,,,,,8,
HRDV,,,,,4,4,,,,,,,4,
INST,,,,1,10,11,,,,,,,11,
KINE,,,,,8,8,2,2,3,3,,,13,
NUTR,,,,,,,,,,,,,,
SPED,,,,,,,2,2,,,,,2,
SPMT,,,,2,5,7,16,16,,,,,23,
SPSY,,,,,,,,,3,3,,,3,
TCMG,,,,,3,3,,,,,,,3,
TCML,,3,,3,,6,,,,,,,6,
TECR,,,,,,,,,,,,,,
USEH,,,1,,,1,,,,,,,1,
Subtotal,,83,33,32,51,199,54,54,96,96,,,349,
