Texas A&M University Student Enrollment Summary,,,,,,,,,,,,,,,,
Student Head Count by Level by College (College Station),,,,,,,,,,,,,,,,
College G. Bush School of Govt,,,,,,,,,,,,,,,,
Fall 2013                                                             Undergraduate                                                  Masters                                                         Doctoral                                                    Professional                                                        Total,,,,,,,,,,,,,,,,
,,#,%,#,,%,,#,%,#,%,#,,%,,
Gender,Total,,,,377,,100.0%,,,,,,377,,100.0%,
,Female,,,,161,,42.7%,,,,,,161,,42.7%,
,Male,,,,216,,57.3%,,,,,,216,,57.3%,
Ethnicity,White Only,,,,246,,65.3%,,,,,,246,,65.3%,
,American Indian Only,,,,,,,,,,,,,,,
,Asian Only,,,,9,,2.4%,,,,,,9,,2.4%,
,Black Only + 2 or more/1 Black,,,,23,,6.1%,,,,,,23,,6.1%,
,Hispanic or Latino of any Race,,,,48,,12.7%,,,,,,48,,12.7%,
,Native Hawaii Only,,,,1,,.3%,,,,,,1,,.3%,
,2 or More/Excluding Black,,,,9,,2.4%,,,,,,9,,2.4%,
,International,,,,37,,9.8%,,,,,,37,,9.8%,
,Unknown or Not Reported,,,,4,,1.1%,,,,,,4,,1.1%,
TAMU Age,<18,,,,,,,,,,,,,,,
Categories,18-21,,,,9,,2.4%,,,,,,9,,2.4%,
,22-25,,,,192,,50.9%,,,,,,192,,50.9%,
,26-30,,,,95,,25.2%,,,,,,95,,25.2%,
,31-39,,,,47,,12.5%,,,,,,47,,12.5%,
,40+,,,,34,,9.0%,,,,,,34,,9.0%,
Enrollment,1st Time in College,,,,,,,,,,,,,,,
Status,1st Time Transfer,,,,,,,,,,,,,,,
,1st Time Graduate,,,,195,,51.7%,,,,,,195,,51.7%,
,1st Time Professional,,,,,,,,,,,,,,,
,Readmitted,,,,,,,,,,,,,,,
,Continuing,,,,182,,48.3%,,,,,,182,,48.3%,
Tuition Status,Resident Tuition,,,,234,,62.1%,,,,,,234,,62.1%,
,Non-Resident Tuition,,,,5,,1.3%,,,,,,5,,1.3%,
,Tuition Exemption/Waiver,,,,138,,36.6%,,,,,,138,,36.6%,
Residency Status,Texas Resident,,,,246,,65.3%,,,,,,246,,65.3%,
,"Non-TX, US Resident",,,,89,,23.6%,,,,,,89,,23.6%,
,"Non-TX, Non-US Resident",,,,42,,11.1%,,,,,,42,,11.1%,
SCH Categories,< 6 SCH,,,,45,,11.9%,,,,,,45,,11.9%,
,6-8 SCH,,,,45,,11.9%,,,,,,45,,11.9%,
,9-11 SCH,,,,30,,8.0%,,,,,,30,,8.0%,
,12-14 SCH,,,,244,,64.7%,,,,,,244,,64.7%,
,15-17 SCH,,,,13,,3.4%,,,,,,13,,3.4%,
,>17 SCH,,,,,,,,,,,,,,,
Ft/Pt:  TAMU,Less Than Half Time,,,,45,,11.9%,,,,,,45,,11.9%,
Status,Half-Time,,,,45,,11.9%,,,,,,45,,11.9%,
,Full-Time,,,,287,,76.1%,,,,,,287,,76.1%,
Top 10% Texas,No,,,,359,,95.2%,,,,,,359,,95.2%,
High School,Yes,,,,18,,4.8%,,,,,,18,,4.8%,
First Generation,No,,,,238,,63.1%,,,,,,238,,63.1%,
,Unknown,,,,50,,13.3%,,,,,,50,,13.3%,
,Yes,,,,89,,23.6%,,,,,,89,,23.6%,
"Table 8     Prepared by DARS, 12/3/2013",,,,,,,,,,,,,,,,
