Headcount by Department by Classification/Degree Objective by Ethnicity,,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,,
Ethnicity 2 or More/Excluding Black,,,,,,,,,,,,,,
Fall 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Agriculture,AGEC,2,3,2,2,9,,,,,,,9,
ALEC,,2,5,8,6,21,2,2,,,,,23,
ANSC,,5,5,4,10,24,1,1,,,,,25,
BAEN,,2,2,3,6,13,1,1,,,,,14,
BCBP,,3,2,4,2,11,,,1,1,,,12,
CLAG,,,1,1,,2,,,,,,,2,
ENTO,,2,1,2,2,7,,,,,,,7,
ESSM,,2,4,2,4,12,,,,,,,12,
HRSC,,1,,1,,2,,,1,1,,,3,
NFSC,,,3,3,9,15,1,1,,,,,16,
PLPM,,,3,3,,6,,,,,,,6,
POSC,,,1,,,1,1,1,,,,,2,
RPTS,,,5,2,3,10,,,,,,,10,
SCSC,,,1,1,1,3,,,2,2,,,5,
WFSC,,1,,4,3,8,1,1,1,1,,,10,
Subtotal,,20,36,40,48,144,7,7,5,5,,,156,
Architecture,ARCH,3,1,,3,7,,,,,,,7,
CLAR,,,,,,,,,,,,,,
COSC,,2,3,2,4,11,,,,,,,11,
LAUP,,1,2,,2,5,,,,,,,5,
VIZA,,1,1,1,1,4,3,3,,,,,7,
Subtotal,,7,7,3,10,27,3,3,,,,,30,
Business,ACCT,,,6,6,12,1,1,,,,,13,
Admin,CLBA,18,18,4,3,43,,,,,,,43,
FINC,,,,3,6,9,2,2,,,,,11,
INFO,,,,3,6,9,2,2,,,,,11,
MGMT,,,,1,3,4,,,,,,,4,
MKTG,,,,4,6,10,1,1,,,,,11,
Subtotal,,18,18,21,30,87,6,6,,,,,93,
Education,CLED,,,,,,,,,,,,,
EAHR,,3,,4,3,10,1,1,1,1,,,12,
EPSY,,,,2,2,4,1,1,4,4,,,9,
HLKN,,11,12,23,24,70,3,3,2,2,,,75,
TLAC,,2,6,9,10,27,5,5,1,1,,,33,
Subtotal,,16,18,38,39,111,10,10,8,8,,,129,
Engineering,AERO,3,8,,6,17,,,,,,,17,
BMEN,,4,2,2,7,15,1,1,3,3,,,19,
CHEN,,3,9,4,7,23,,,1,1,,,24,
CLEN,,11,1,,,12,,,,,,,12,
CSCE,,8,4,5,10,27,2,2,,,,,29,
CVEN,,7,4,2,3,16,3,3,1,1,,,20,
ECEN,,9,5,4,14,32,2,2,,,,,34,
ETID,,,2,6,9,17,,,,,,,17,
ISEN,,3,3,6,10,22,1,1,,,,,23,
MEEN,,10,4,9,4,27,1,1,,,,,28,
MSEN,,,,,,,,,1,1,,,1,
NUEN,,,2,4,3,9,,,1,1,,,10,
PETE,,7,3,4,5,19,3,3,,,,,22,
Subtotal,,65,47,46,78,236,13,13,7,7,,,256,
