Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First-Time In College Students (College Station),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College Geosciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2013,White Only,,,American Indian Only,,,Asian Only,,,Black Only + 2 or more/1 Black,,,Hispanic or Latino of any Race,,,Native Hawaii Only,,2 or More/Excludin g Black,,,International,,,Unknown or Not Reported,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,49,73,122,,,,1,5,6,3,6,9,26,25,51,,,2,3,5,2,5,7,,,,83,117,200,
TAMU Age                <18,1,,1,,,,,,,,,,,,,,,,,,2,1,3,,,,3,1,4,
18-21,48,73,121,,,,1,5,6,3,6,9,26,25,51,,,2,3,5,,4,4,,,,80,116,196,
22-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification/Deg  Freshman,43,69,112,,,,1,5,6,3,6,9,25,22,47,,,2,3,5,2,5,7,,,,76,110,186,
"ree Objective
Sophomore",6,3,9,,,,,,,,,,1,1,2,,,,,,,,,,,,7,4,11,
Junior,,1,1,,,,,,,,,,,2,2,,,,,,,,,,,,,3,3,
Senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status          Resident Tuition,48,70,118,,,,1,5,6,3,5,8,25,24,49,,,2,3,5,,,,,,,79,107,186,
Non-Resident Tuition,1,1,2,,,,,,,,,,,,,,,,,,2,4,6,,,,3,5,8,
Tuition Exemption/Waiver,,2,2,,,,,,,,1,1,1,1,2,,,,,,,1,1,,,,1,5,6,
Residency Status     Texas Resident,48,71,119,,,,1,5,6,3,5,8,25,24,49,,,2,3,5,,,,,,,79,108,187,
"Non-TX, US Resident",1,2,3,,,,,,,,1,1,1,1,2,,,,,,,,,,,,2,4,6,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,2,5,7,,,,2,5,7,
SCH Categories       < 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-14 SCH,17,32,49,,,,,1,1,1,2,3,4,6,10,,,2,,2,1,1,2,,,,25,42,67,
15-17 SCH,32,40,72,,,,1,4,5,2,4,6,22,19,41,,,,3,3,1,3,4,,,,58,73,131,
>17 SCH,,1,1,,,,,,,,,,,,,,,,,,,1,1,,,,,2,2,
Ft/Pt:  TAMU           Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Status
Half-Time",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-Time,49,73,122,,,,1,5,6,3,6,9,26,25,51,,,2,3,5,2,5,7,,,,83,117,200,
Top 10% Texas         No,17,42,59,,,,,2,2,2,2,4,9,5,14,,,1,1,2,2,5,7,,,,31,57,88,
Yes,32,31,63,,,,1,3,4,1,4,5,17,20,37,,,1,2,3,,,,,,,52,60,112,
First Generation      No,33,58,91,,,,1,4,5,2,4,6,12,8,20,,,2,3,5,,,,,,,50,77,127,
Unknown,4,2,6,,,,,,,,,,1,3,4,,,,,,2,5,7,,,,7,10,17,
Yes,12,13,25,,,,,1,1,1,2,3,13,14,27,,,,,,,,,,,,26,30,56,
Dorm / Off-              Off-campus,20,31,51,,,,,3,3,,2,2,7,8,15,,,,2,2,,1,1,,,,27,47,74,
"campus students
Dorm (On-campus)",29,42,71,,,,1,2,3,3,4,7,19,17,36,,,2,1,3,2,4,6,,,,56,70,126,
Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by DARS, 30 Oct 13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
