Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,
First-Time In College Students (College Station Campus),,,,,,,,,,,,,,,,,,,,,,
College Veterinary Medicine,,,,,,,,,,,,,,,,,,,,,,
Spring 2013,White Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,2,3,5,,1,1,,,,,,,1,,1,,,,3,4,7,
TAMU Age Categories  <18,,,,,,,,,,,,,,,,,,,,,,
18-21,2,2,4,,1,1,,,,,,,1,,1,,,,3,3,6,
22-25,,1,1,,,,,,,,,,,,,,,,,1,1,
26-30,,,,,,,,,,,,,,,,,,,,,,
40+,,,,,,,,,,,,,,,,,,,,,,
"Classification/Degree   Freshman
Objective",2,3,5,,1,1,,,,,,,1,,1,,,,3,4,7,
Sophomore,,,,,,,,,,,,,,,,,,,,,,
Tuition Status                Resident Tuition,2,3,5,,1,1,,,,,,,1,,1,,,,3,4,7,
Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,
Residency Status           Texas Resident,2,3,5,,1,1,,,,,,,1,,1,,,,3,4,7,
"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,
"Non-TX, Non-US
Resident",,,,,,,,,,,,,,,,,,,,,,
SCH Categories              9-11 SCH,,,,,,,,,,,,,,,,,,,,,,
12-14 SCH,,1,1,,,,,,,,,,,,,,,,,1,1,
15-17 SCH,2,2,4,,1,1,,,,,,,1,,1,,,,3,3,6,
>17 SCH,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU Status    Half-Time,,,,,,,,,,,,,,,,,,,,,,
Full-Time,2,3,5,,1,1,,,,,,,1,,1,,,,3,4,7,
"Top 10% Texas High     No
School",1,2,3,,,,,,,,,,,,,,,,1,2,3,
Yes,1,1,2,,1,1,,,,,,,1,,1,,,,2,2,4,
First Generation            No,1,3,4,,,,,,,,,,1,,1,,,,2,3,5,
Unknown,,,,,,,,,,,,,,,,,,,,,,
Yes,1,,1,,1,1,,,,,,,,,,,,,1,1,2,
"Dorm / Off-campus      Off Campus
students",1,1,2,,,,,,,,,,,,,,,,1,1,2,
On Campus,1,2,3,,1,1,,,,,,,1,,1,,,,2,3,5,
"Prepared by DARS, 22 Feb 13",,,,,,,,,,,,,,,,,,,,,,
Page 139,,,,,,,,,,,,,,,,,,,,,,
