Spring 2013,,White Only (NEW),American Indian Only (NEW),Asian Only (NEW),"Black Only
+ 2 or more/1 Black (NEW)",Hispanic or Latino of any Race (NEW),Native Hawaii Only (New),2 or More/Excl uding Black (NEW),Internatio nal,Unknown or Not Reported,Total
Liberal Arts,ANTH,209,1,12,11,60,,12,12,1,318
,CLSS,17,,,,3,,,,1,21
,COMM,614,1,15,29,113,1,20,4,4,801
,ECON,471,1,51,22,104,,18,166,6,839
,ENGL,495,4,14,23,133,1,13,21,2,706
,FREN,8,,,2,,,,,,10
,GERM,3,,,,,,,,,3
,HISP,8,,,,20,,,9,1,38
,HIST,543,3,10,14,114,,19,4,4,711
,INTS,445,2,26,25,156,1,18,4,2,679
,MODL,3,,1,,3,,,,,7
,MUSC,16,,2,1,3,,1,,,23
,NRSC,12,,1,1,3,,,4,,21
,PERF,4,,,2,1,,,,1,8
,PHIL,85,,5,2,24,,5,,2,123
,POLS,461,4,28,27,163,,21,10,5,719
,PSYC,883,3,67,70,303,1,22,19,2,"1,370"
,RUSS,8,,,,1,,1,,,10
,SOCI,277,3,15,65,130,1,11,13,2,517
,SPAN,28,,,1,43,,,,,72
,TCMS,127,,5,8,35,,5,1,1,182
,THAR,28,,1,4,10,,2,,,45
,USLA,9,,1,2,5,,,,,17
,WGST,12,,1,3,8,,,,,24
,Subtotal,"4,766",22,255,312,"1,435",5,168,267,34,"7,264"
