Ethnicity 2 or More/Excluding Black (NEW),,,,,,,,,,,,,,,
Spring 2013,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
Architecture,COSC,,,,5,,5,,,,,,,5,
,COSL,,5,1,,,6,,,,,,,6,
,ENDL,1,1,,,,2,,,,,,,2,
,ENDS,,,1,4,,5,,,,,,,5,
,LAND,,,,4,,4,1,1,,,,,5,
,URPL,,,,,,,1,1,,,,,1,
,URPN,,1,,,,1,,,,,,,1,
,USAR,,,1,,,1,,,,,,,1,
,VISL,,,1,,,1,,,,,,,1,
,VIST,,,,2,,2,2,2,,,,,4,
,Subtotal,1,7,4,15,,27,4,4,,,,,31,
"Business Admin
Education",ACCT,,,4,7,,11,,,,,,,11,
,AGBU,,,1,,,1,,,,,,,1,
,BHNR,,,2,,,2,,,,,,,2,
,BUAD,10,18,1,,,29,,,,,,,29,
,FINC,,,4,2,,6,1,1,,,,,7,
,INFO,,,5,6,,11,,,,,,,11,
,MGMT,,,3,1,,4,,,,,,,4,
,MKTG,,,2,9,,11,1,1,,,,,12,
,USBU,,,,3,,3,,,,,,,3,
,Subtotal,10,18,22,28,,78,2,2,,,,,80,
,CPSY,,,,,,,,,2,2,,,2,
,EDAD,,,,,,,,,1,1,,,1,
,EDCI,,,,,,,5,5,3,3,,,8,
,EDHL,,3,11,1,,15,,,,,,,15,
,EDIS,,3,3,2,,8,,,,,,,8,
,EDKI,2,5,11,3,,21,,,,,,,21,
,EDSM,1,,3,,,4,,,,,,,4,
,EHRD,,,,,,,1,1,1,1,,,2,
,EPSY,,,,,,,,,1,1,,,1,
,HEED,,,,,,,1,1,1,1,,,2,
,HLTH,,,,5,,5,,,,,,,5,
,HRDL,,1,2,1,,4,,,,,,,4,
,HRDV,,,,1,,1,,,,,,,1,
,INST,,2,4,8,,14,,,,,,,14,
,KINE,,,1,6,,7,1,1,,,,,8,
,SPMT,,,,2,,2,2,2,,,,,4,
,SPSY,,,,,,,,,3,3,,,3,
,TCML,,1,,,,1,,,,,,,1,
,Subtotal,3,15,35,29,,82,10,10,12,12,,,104,
