Spring 2013,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
"General Studies                   GEST TEAM
Subtotal",,20,15,2,,,37,,,,,,,37,
,,17,9,,,,26,,,,,,,26,
,,37,24,2,,,63,,,,,,,63,
"Other - Special Populations
University",MDSC,,,,,,,1,1,,,,,1,
,Subtotal Total,,,,,,,1,1,,,,,1,
,,135,218,205,281,2,841,53,53,36,36,2,2,932,
"Prepared by DARS, 20 Feb 13",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
