Headcount by Department by Classification/Degree Objective by Ethnicity (College Station Campus),,,,,,,,,,,,,,,
Ethnicity Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,,,,,
Spring 2013,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
Agriculture,AGEC,,,,1,,1,,,,,,,1,
,ALEC,12,10,22,35,,79,2,2,8,8,,,89,
,ANSC,1,2,2,1,,6,3,3,1,1,,,10,
,BAEN,2,,,4,,6,1,1,2,2,,,9,
,BCBP,2,6,6,7,,21,,,1,1,,,22,
,CLAG,3,3,1,,2,9,,,,,,,9,
,ENTO,1,1,2,,,4,,,1,1,,,5,
,ESSM,,1,1,,,2,,,2,2,,,4,
,NFSC,1,2,7,10,,20,1,1,,,,,21,
,PLPM,,1,3,6,,10,,,1,1,,,11,
,POSC,,1,1,3,,5,1,1,1,1,,,7,
,RPTS,2,4,9,6,,21,1,1,4,4,,,26,
,SCSC,,,,,,,2,2,1,1,,,3,
,WFSC,1,2,2,3,,8,1,1,2,2,,,11,
,Subtotal,25,33,56,76,2,192,12,12,24,24,,,228,
"Architecture
Business Admin
Education",ARCH,2,,2,1,,5,1,1,,,,,6,
,CLAR,,,1,1,,2,,,,,,,2,
,COSC,,2,2,7,,11,2,2,,,,,13,
,LAUP,,1,,2,,3,3,3,2,2,,,8,
,VIZA,,1,3,1,,5,,,,,,,5,
,Subtotal,2,4,8,12,,26,6,6,2,2,,,34,
,ACCT,,1,4,12,,17,4,4,1,1,,,22,
,CLBA,10,18,8,5,,41,16,16,,,,,57,
,FINC,,,1,5,,6,,,,,,,6,
,INFO,,,4,5,,9,3,3,,,,,12,
,MGMT,,,7,4,,11,,,2,2,,,13,
,MKTG,,,3,4,,7,1,1,,,,,8,
,Subtotal,10,19,27,35,,91,24,24,3,3,,,118,
,CLED,,,,,1,1,,,,,,,1,
,EAHR,3,1,3,13,,20,15,15,50,50,,,85,
,EPSY,,,2,1,,3,1,1,14,14,,,18,
,HLKN,19,17,25,40,,101,17,17,11,11,,,129,
,TLAC,5,2,3,10,,20,6,6,36,36,,,62,
,Subtotal,27,20,33,64,1,145,39,39,111,111,,,295,
