Texas A&M University Student Enrollment Summary,,,,,,,,,,,,
Student Head Count by Level by College (College Station Campus),,,,,,,,,,,,
College Science,,,,,,,,,,,,
Spring 2013,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,"2,296",100.0%,181,100.0%,669,100.0%,,,"3,146",100.0%,
Female,,"1,133",49.3%,60,33.1%,224,33.5%,,,"1,417",45.0%,
Male,,"1,163",50.7%,121,66.9%,445,66.5%,,,"1,729",55.0%,
Ethnicity,White Only (NEW),"1,272",55.4%,109,60.2%,226,33.8%,,,"1,607",51.1%,
American Indian Only (NEW),,8,.3%,,,2,.3%,,,10,.3%,
Asian Only (NEW),,280,12.2%,18,9.9%,21,3.1%,,,319,10.1%,
Black Only + 2 or more/1 Black (NEW),,72,3.1%,7,3.9%,8,1.2%,,,87,2.8%,
Hispanic or Latino of any Race (NEW),,540,23.5%,9,5.0%,34,5.1%,,,583,18.5%,
Native Hawaii Only (New),,2,.1%,,,,,,,2,.1%,
2 or More/Excluding Black (NEW),,82,3.6%,3,1.7%,7,1.0%,,,92,2.9%,
International,,32,1.4%,29,16.0%,364,54.4%,,,425,13.5%,
Unknown or Not Reported,,8,.3%,6,3.3%,7,1.0%,,,21,.7%,
TAMU Age Categories,<18,3,.1%,,,1,.1%,,,4,.1%,
18-21,,"1,605",69.9%,,,,,,,"1,605",51.0%,
22-25,,662,28.8%,24,13.3%,180,26.9%,,,866,27.5%,
26-30,,16,.7%,62,34.3%,351,52.5%,,,429,13.6%,
31-39,,9,.4%,46,25.4%,125,18.7%,,,180,5.7%,
40+,,1,.0%,49,27.1%,12,1.8%,,,62,2.0%,
Enrollment Status,1st Time in College,11,.5%,,,,,,,11,.3%,
1st Time Graduate,,,,26,14.4%,4,.6%,,,30,1.0%,
1st Time Transfer,,49,2.1%,,,,,,,49,1.6%,
Readmitted,,9,.4%,2,1.1%,,,,,11,.3%,
Continuing,,"2,227",97.0%,153,84.5%,665,99.4%,,,"3,045",96.8%,
Tuition Status,Resident Tuition,"2,249",98.0%,154,85.1%,629,94.0%,,,"3,032",96.4%,
Non-Resident Tuition,,47,2.0%,27,14.9%,40,6.0%,,,114,3.6%,
Residency Status,Texas Resident,"2,179",94.9%,132,72.9%,126,18.8%,,,"2,437",77.5%,
"Non-TX, US Resident",,85,3.7%,20,11.0%,175,26.2%,,,280,8.9%,
"Non-TX, Non-US Resident",,32,1.4%,29,16.0%,368,55.0%,,,429,13.6%,
SCH Categories,< 6 SCH,15,.7%,92,50.8%,19,2.8%,,,126,4.0%,
6-8 SCH,,70,3.0%,38,21.0%,2,.3%,,,110,3.5%,
9-11 SCH,,99,4.3%,47,26.0%,636,95.1%,,,782,24.9%,
12-14 SCH,,"1,131",49.3%,3,1.7%,11,1.6%,,,"1,145",36.4%,
15-17 SCH,,918,40.0%,1,.6%,1,.1%,,,920,29.2%,
>17 SCH,,63,2.7%,,,,,,,63,2.0%,
Ft/Pt:  TAMU Status,Less Than Half Time,15,.7%,87,48.1%,17,2.5%,,,119,3.8%,
Half-Time,,170,7.4%,44,24.3%,4,.6%,,,218,6.9%,
Full-Time,,"2,111",91.9%,50,27.6%,648,96.9%,,,"2,809",89.3%,
Top10_TX,No,945,41.2%,180,99.4%,659,98.5%,,,"1,784",56.7%,
Yes,,"1,351",58.8%,1,.6%,10,1.5%,,,"1,362",43.3%,
First Generation,No,"1,585",69.0%,94,51.9%,310,46.3%,,,"1,989",63.2%,
Unknown,,92,4.0%,41,22.7%,194,29.0%,,,327,10.4%,
Yes,,619,27.0%,46,25.4%,165,24.7%,,,830,26.4%,
"Prepared by DARS, 2/20/2013",,,,,,,,,,,,
Page 15,,,,,,,,,,,,
