College Education,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary,,,,,,,,,,,,
Student Head Count by Level by College (College Station Campus),,,,,,,,,,,,
Spring 2013,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,"4,173",100.0%,600,100.0%,637,100.0%,,,"5,410",100.0%,
Female,,"3,162",75.8%,443,73.8%,418,65.6%,,,"4,023",74.4%,
Male,,"1,011",24.2%,157,26.2%,219,34.4%,,,"1,387",25.6%,
Ethnicity,White Only (NEW),"3,146",75.4%,361,60.2%,281,44.1%,,,"3,788",70.0%,
American Indian Only (NEW),,6,.1%,2,.3%,2,.3%,,,10,.2%,
Asian Only (NEW),,85,2.0%,16,2.7%,22,3.5%,,,123,2.3%,
Black Only + 2 or more/1 Black (NEW),,145,3.5%,39,6.5%,111,17.4%,,,295,5.5%,
Hispanic or Latino of any Race (NEW),,695,16.7%,96,16.0%,107,16.8%,,,898,16.6%,
Native Hawaii Only (New),,2,.0%,,,,,,,2,.0%,
2 or More/Excluding Black (NEW),,82,2.0%,10,1.7%,12,1.9%,,,104,1.9%,
International,,12,.3%,69,11.5%,98,15.4%,,,179,3.3%,
Unknown or Not Reported,,,,7,1.2%,4,.6%,,,11,.2%,
TAMU Age Categories,<18,,,,,,,,,,,
18-21,,"2,222",53.2%,1,.2%,,,,,"2,223",41.1%,
22-25,,"1,876",45.0%,243,40.5%,33,5.2%,,,"2,152",39.8%,
26-30,,39,.9%,172,28.7%,145,22.8%,,,356,6.6%,
31-39,,22,.5%,121,20.2%,218,34.2%,,,361,6.7%,
40+,,14,.3%,63,10.5%,241,37.8%,,,318,5.9%,
Enrollment Status,1st Time in College,8,.2%,,,,,,,8,.1%,
1st Time Graduate,,,,91,15.2%,7,1.1%,,,98,1.8%,
1st Time Transfer,,120,2.9%,,,,,,,120,2.2%,
Readmitted,,35,.8%,1,.2%,2,.3%,,,38,.7%,
Continuing,,"4,010",96.1%,508,84.7%,628,98.6%,,,"5,146",95.1%,
Tuition Status,Resident Tuition,"4,127",98.9%,537,89.5%,603,94.7%,,,"5,267",97.4%,
Non-Resident Tuition,,46,1.1%,63,10.5%,34,5.3%,,,143,2.6%,
Residency Status,Texas Resident,"4,100",98.3%,490,81.7%,480,75.4%,,,"5,070",93.7%,
"Non-TX, US Resident",,62,1.5%,40,6.7%,60,9.4%,,,162,3.0%,
"Non-TX, Non-US Resident",,11,.3%,70,11.7%,97,15.2%,,,178,3.3%,
SCH Categories,< 6 SCH,37,.9%,97,16.2%,219,34.4%,,,353,6.5%,
6-8 SCH,,382,9.2%,234,39.0%,115,18.1%,,,731,13.5%,
9-11 SCH,,187,4.5%,197,32.8%,268,42.1%,,,652,12.1%,
12-14 SCH,,"1,982",47.5%,65,10.8%,32,5.0%,,,"2,079",38.4%,
15-17 SCH,,"1,405",33.7%,7,1.2%,3,.5%,,,"1,415",26.2%,
>17 SCH,,180,4.3%,,,,,,,180,3.3%,
Ft/Pt:  TAMU Status,Less Than Half Time,37,.9%,87,14.5%,176,27.6%,,,300,5.5%,
Half-Time,,569,13.6%,247,41.2%,159,25.0%,,,975,18.0%,
Full-Time,,"3,567",85.5%,266,44.3%,302,47.4%,,,"4,135",76.4%,
Top10_TX,No,"2,403",57.6%,572,95.3%,602,94.5%,,,"3,577",66.1%,
Yes,,"1,770",42.4%,28,4.7%,35,5.5%,,,"1,833",33.9%,
First Generation,No,"2,988",71.6%,331,55.2%,296,46.5%,,,"3,615",66.8%,
Unknown,,83,2.0%,79,13.2%,120,18.8%,,,282,5.2%,
Yes,,"1,102",26.4%,190,31.7%,221,34.7%,,,"1,513",28.0%,
"Prepared by DARS, 2/20/2013",,,,,,,,,,,,
Page 10,,,,,,,,,,,,
