Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,
First-Time Undergraduate Transfer Students  (College Station Campus),,,,,,,,,,,,,,,,,,,,,,,,,,,
College Science,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring 2013,White Only (NEW),,,American Indian Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,
Headcount Total,6,14,20,,,,5,3,8,2,1,3,8,8,16,,,,2,,2,,,23,26,49,
TAMU Age               18-21,4,9,13,,,,1,2,3,2,,2,6,6,12,,,,1,,1,,,14,17,31,
22-25,2,4,6,,,,3,1,4,,1,1,1,1,2,,,,1,,1,,,7,7,14,
26-30,,,,,,,,,,,,,1,,1,,,,,,,,,1,,1,
31-39,,1,1,,,,1,,1,,,,,1,1,,,,,,,,,1,2,3,
40+,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification/Deg Freshman,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ree Objective
Sophomore",3,10,13,,,,,1,1,1,,1,3,6,9,,,,,,,,,7,17,24,
Junior,2,4,6,,,,3,2,5,1,1,2,3,1,4,,,,2,,2,,,11,8,19,
Senior,1,,1,,,,2,,2,,,,2,1,3,,,,,,,,,5,1,6,
PB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status         Resident Tuition,6,13,19,,,,5,3,8,2,1,3,8,8,16,,,,2,,2,,,23,25,48,
Non-Resident Tuition,,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,
Residency Status    Texas Resident,6,13,19,,,,5,3,8,2,1,3,8,8,16,,,,,,,,,21,25,46,
"Non-TX, US Resident",,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,2,,2,,,2,,2,
SCH Categories       < 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-11 SCH,,1,1,,,,,,,,,,,1,1,,,,,,,,,,2,2,
12-14 SCH,4,8,12,,,,4,2,6,1,1,2,7,6,13,,,,1,,1,,,17,17,34,
15-17 SCH,2,5,7,,,,1,1,2,1,,1,1,1,2,,,,,,,,,5,7,12,
>17 SCH,,,,,,,,,,,,,,,,,,,1,,1,,,1,,1,
Ft/Pt:  TAMU          Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Status
Half-Time",,1,1,,,,,,,,,,,1,1,,,,,,,,,,2,2,
Full-Time,6,13,19,,,,5,3,8,2,1,3,8,7,15,,,,2,,2,,,23,24,47,
Top 10% Texas        No,3,12,15,,,,4,3,7,2,1,3,6,8,14,,,,2,,2,,,17,24,41,
Yes,3,2,5,,,,1,,1,,,,2,,2,,,,,,,,,6,2,8,
First Generation     No,5,10,15,,,,3,1,4,1,,1,5,1,6,,,,,,,,,14,12,26,
Unknown,,1,1,,,,,,,,,,,1,1,,,,2,,2,,,2,2,4,
Yes,1,3,4,,,,2,2,4,1,1,2,3,6,9,,,,,,,,,7,12,19,
Dorm / Off-             Off Campus,6,11,17,,,,5,2,7,1,,1,6,5,11,,,,2,,2,,,20,18,38,
"campus students
On Campus",,3,3,,,,,1,1,1,1,2,2,3,5,,,,,,,,,3,8,11,
Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,
High School,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by DARS, 22 Feb 13",,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 148,,,,,,,,,,,,,,,,,,,,,,,,,,,
