Demographic Summary for Blinn TEAM Students (College Station Campus),,,,,,
"Prepared by DARS, 22 Feb 13",,,,,,
Spring 2013,,"U1:
Freshmen","U2:
Sophomore",U3: Junior,Grand Total,
Headcount Total,,735,359,14,"1,108",
"Gender Ethnicity
TAMU Age
Categories
Enrollment Status
Tuition Status
Residency Status
SCH
Categories
Ft/Pt: TAMU
Status
First Generation",Female,360,158,7,525,
,Male,375,201,7,583,
,White Only (NEW),563,282,8,853,
,American Indian Only (NEW),5,,,5,
,Asian Only (NEW),24,7,1,32,
,Black Only + 2 or more/1 Black (NEW),14,6,,20,
,Hispanic or Latino of any Race (NEW),109,55,5,169,
,Native Hawaii Only (New),1,,,1,
,2 or More/Excluding Black (NEW),17,9,,26,
,Unknown or Not Reported,2,,,2,
,18-21,735,358,14,"1,107",
,22-25,,1,,1,
,Continuing,735,359,14,"1,108",
,Resident Tuition,722,353,14,"1,089",
,Non-Resident Tuition,13,6,,19,
,Texas Resident,710,348,14,"1,072",
,"Non-TX, US Resident",23,11,,34,
,"Non-TX, Non-US Resident",2,,,2,
,< 6 SCH,639,299,10,948,
,6-8 SCH,96,60,4,160,
,Less Than Half Time,639,299,10,948,
,Half-Time,96,60,4,160,
,No,570,275,8,853,
,Unknown,8,3,1,12,
,Yes,157,81,5,243,
