Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,
First-Time Undergraduate Transfer Students  (College Station Campus),,,,,,,,,,,,,,,,,,,,,,,,,,,
College Education,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring 2013,White Only (NEW),,,American Indian Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,
Headcount Total,64,23,87,,,,,,,,1,1,16,10,26,5,1,6,,,,,,85,35,120,
TAMU Age               18-21,48,13,61,,,,,,,,1,1,12,5,17,4,1,5,,,,,,64,20,84,
22-25,16,8,24,,,,,,,,,,4,5,9,1,,1,,,,,,21,13,34,
26-30,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-39,,2,2,,,,,,,,,,,,,,,,,,,,,,2,2,
40+,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification/Deg Freshman,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ree Objective
Sophomore",37,12,49,,,,,,,,,,9,8,17,2,,2,,,,,,48,20,68,
Junior,25,8,33,,,,,,,,1,1,7,2,9,2,1,3,,,,,,34,12,46,
Senior,2,3,5,,,,,,,,,,,,,1,,1,,,,,,3,3,6,
PB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status         Resident Tuition,64,23,87,,,,,,,,1,1,16,10,26,5,1,6,,,,,,85,35,120,
Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residency Status    Texas Resident,64,23,87,,,,,,,,1,1,16,10,26,5,1,6,,,,,,85,35,120,
"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,,,,,,,
SCH Categories       < 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,,1,1,,,,,,,,,,1,,1,,,,,,,,,1,1,2,
9-11 SCH,,2,2,,,,,,,,,,,3,3,,,,,,,,,,5,5,
12-14 SCH,38,14,52,,,,,,,,1,1,12,5,17,2,,2,,,,,,52,20,72,
15-17 SCH,26,6,32,,,,,,,,,,3,2,5,2,1,3,,,,,,31,9,40,
>17 SCH,,,,,,,,,,,,,,,,1,,1,,,,,,1,,1,
Ft/Pt:  TAMU          Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Status
Half-Time",,3,3,,,,,,,,,,1,3,4,,,,,,,,,1,6,7,
Full-Time,64,20,84,,,,,,,,1,1,15,7,22,5,1,6,,,,,,84,29,113,
Top 10% Texas        No,60,21,81,,,,,,,,1,1,15,10,25,4,1,5,,,,,,79,33,112,
Yes,4,2,6,,,,,,,,,,1,,1,1,,1,,,,,,6,2,8,
First Generation     No,40,15,55,,,,,,,,1,1,7,5,12,3,1,4,,,,,,50,22,72,
Unknown,1,,1,,,,,,,,,,,,,,,,,,,,,1,,1,
Yes,23,8,31,,,,,,,,,,9,5,14,2,,2,,,,,,34,13,47,
Dorm / Off-             Off Campus,64,21,85,,,,,,,,1,1,15,9,24,5,1,6,,,,,,84,32,116,
"campus students
On Campus",,2,2,,,,,,,,,,1,1,2,,,,,,,,,1,3,4,
Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,
High School,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by DARS, 22 Feb 13",,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 144,,,,,,,,,,,,,,,,,,,,,,,,,,,
