Spring 2013,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,
Education,ATTR,,,,,,,1,1,,,,,1
,BIED,,,,,,,11,11,,,,,11
,CPSY,,,,,,,,,10,10,,,10
,EDAD,,,,,,,17,17,43,43,,,60
,EDCI,,,,,,,25,25,12,12,,,37
,EDHL,16,37,48,22,,123,,,,,,,123
,EDIS,27,27,26,9,,89,,,,,,,89
,EDKI,24,39,40,20,,123,,,,,,,123
,EDSM,2,18,15,2,,37,,,,,,,37
,EHRD,,,,,,,12,12,11,11,,,23
,EPSY,,,,,,,2,2,17,17,,,19
,HEED,,,,,,,12,12,2,2,,,14
,HLTH,,,2,46,,48,,,,,,,48
,HRDL,1,6,17,6,,30,,,,,,,30
,HRDV,,,3,17,,20,,,,,,,20
,INST,,3,18,90,,111,,,,,,,111
,KINE,,,1,41,,42,3,3,4,4,,,49
,SPED,,,,,,,3,3,,,,,3
,SPMT,,,4,23,,27,10,10,,,,,37
,SPSY,,,,,,,,,8,8,,,8
,TCMG,,,2,17,,19,,,,,,,19
,TCML,3,7,8,6,,24,,,,,,,24
,TECR,,,,,1,1,,,,,,,1
,USEH,,,1,,,1,,,,,,,1
,Subtotal,73,137,185,299,1,695,96,96,107,107,,,898
