Demographic Summary by Classification,,,,,,
Professional Students (College Station Campus),,,,,,
Spring 2013,V1: 1st Year Veterinary,V2: 2nd Year Veterinary,V3: 3rd Year Veterinary,V4: 4th Year Veterinary,Grand Total,
Head Count           Total,134,131,133,128,526,
Gender                   Female,103,104,97,101,405,
Male,31,27,36,27,121,
Ethnicity                White Only (NEW),119,110,118,102,449,
American Indian Only (NEW),2,1,,,3,
Asian Only (NEW),2,7,2,2,13,
Black Only + 2 or more/1 Black (NEW),,2,,2,4,
Hispanic or Latino of any Race (NEW),10,9,7,20,46,
2 or More/Excluding Black (NEW),,1,,1,2,
Unknown or Not Reported,1,1,6,1,9,
"TAMU Age             22-25
Categories",97,78,51,23,249,
26-30,29,45,71,89,234,
31-39,5,8,9,16,38,
40+,3,,2,,5,
College                   Veterinary Medicine,134,131,133,128,526,
"Enrollment            Continuing
Status",134,131,133,128,526,
Tuition Status       Resident Tuition,134,130,131,127,522,
Non-Resident Tuition,,1,2,1,4,
Residency Status  Texas Resident,127,127,122,120,496,
"Non-TX, US Resident",7,4,11,8,30,
SCH Categories    >17 SCH,134,131,133,128,526,
"Ft/Pt: TAMU        Full-Time
Status",134,131,133,128,526,
"Prepared by DARS, 20 Feb 13",,,,,,
Page 21,,,,,,
