Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,
First-Time Undergraduate Transfer Students  (College Station Campus),,,,,,,,,,,,,,,,,,,,,,,,,,,
College Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring 2013,White Only (NEW),,,American Indian Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,
Headcount Total,12,63,75,,,,3,9,12,,5,5,4,20,24,,3,3,1,9,10,,,20,109,129,
TAMU Age               18-21,8,32,40,,,,2,5,7,,2,2,2,6,8,,2,2,1,3,4,,,13,50,63,
22-25,3,20,23,,,,,3,3,,1,1,2,10,12,,1,1,,6,6,,,5,41,46,
26-30,1,9,10,,,,1,1,2,,1,1,,3,3,,,,,,,,,2,14,16,
31-39,,2,2,,,,,,,,1,1,,,,,,,,,,,,,3,3,
40+,,,,,,,,,,,,,,1,1,,,,,,,,,,1,1,
Classification/Deg Freshman,,2,2,,,,,,,,,,,,,,,,,,,,,,2,2,
"ree Objective
Sophomore",3,24,27,,,,1,6,7,,2,2,,5,5,,1,1,1,4,5,,,5,42,47,
Junior,6,28,34,,,,1,2,3,,3,3,3,10,13,,1,1,,3,3,,,10,47,57,
Senior,3,7,10,,,,1,1,2,,,,1,4,5,,1,1,,2,2,,,5,15,20,
PB,,2,2,,,,,,,,,,,1,1,,,,,,,,,,3,3,
Tuition Status         Resident Tuition,12,61,73,,,,3,8,11,,5,5,3,19,22,,3,3,,3,3,,,18,99,117,
Non-Resident Tuition,,2,2,,,,,1,1,,,,1,1,2,,,,1,6,7,,,2,10,12,
Residency Status    Texas Resident,12,59,71,,,,3,8,11,,4,4,3,20,23,,3,3,,,,,,18,94,112,
"Non-TX, US Resident",,3,3,,,,,1,1,,1,1,1,,1,,,,,,,,,1,5,6,
"Non-TX, Non-US Resident",,1,1,,,,,,,,,,,,,,,,1,9,10,,,1,10,11,
SCH Categories       < 6 SCH,,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,
6-8 SCH,1,3,4,,,,,,,,,,,2,2,,,,,,,,,1,5,6,
9-11 SCH,,7,7,,,,,1,1,,,,,,,,,,,,,,,,8,8,
12-14 SCH,8,40,48,,,,3,5,8,,5,5,4,13,17,,3,3,1,5,6,,,16,71,87,
15-17 SCH,3,10,13,,,,,3,3,,,,,5,5,,,,,3,3,,,3,21,24,
>17 SCH,,2,2,,,,,,,,,,,,,,,,,1,1,,,,3,3,
Ft/Pt:  TAMU          Less Than Half Time,,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,
"Status
Half-Time",1,10,11,,,,,1,1,,,,,2,2,,,,,1,1,,,1,14,15,
Full-Time,11,52,63,,,,3,8,11,,5,5,4,18,22,,3,3,1,8,9,,,19,94,113,
Top 10% Texas        No,6,54,60,,,,2,8,10,,5,5,3,19,22,,3,3,1,9,10,,,12,98,110,
Yes,6,9,15,,,,1,1,2,,,,1,1,2,,,,,,,,,8,11,19,
First Generation     No,8,43,51,,,,2,6,8,,2,2,,11,11,,1,1,,,,,,10,63,73,
Unknown,,2,2,,,,,,,,1,1,1,1,2,,,,1,9,10,,,2,13,15,
Yes,4,18,22,,,,1,3,4,,2,2,3,8,11,,2,2,,,,,,8,33,41,
Dorm / Off-             Off Campus,10,53,63,,,,2,7,9,,5,5,2,19,21,,2,2,,4,4,,,14,90,104,
"campus students
On Campus",2,10,12,,,,1,2,3,,,,2,1,3,,1,1,1,5,6,,,6,19,25,
Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,
High School,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by DARS, 22 Feb 13",,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 145,,,,,,,,,,,,,,,,,,,,,,,,,,,
