Spring 2013,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
"Veterinary Medicine            CLVM VIBS VTPB
Subtotal
General Studies                    GEST Subtotal
Other - Special                      MARA
Populations                           SRPH Subtotal
University                              Total",27,12,8,18,,65,2,2,,,4,4,71,
,,,,,,,1,1,,,,,1,
,,,,,,,,,1,1,,,1,
,27,12,8,18,,65,3,3,1,1,4,4,73,
,71,53,1,,,125,,,,,,,125,
,71,53,1,,,125,,,,,,,125,
,,,,1,,1,,,,,,,1,
,,,,,,,2,2,,,,,2,
,,,,1,,1,2,2,,,,,3,
,243,250,263,447,4,"1,207",148,148,204,204,4,4,"1,563",
"Prepared by DARS, 20 Feb 13",,,,,,,,,,,,,,
