Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,
First-Time In College Students (College Station Campus),,,,,,,,,,,,,,,,,,,,,,
College Science,,,,,,,,,,,,,,,,,,,,,,
Spring 2013,White Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,1,1,2,,1,1,1,1,2,1,2,3,,2,2,1,,1,4,7,11,
TAMU Age Categories  <18,,,,,,,,,,,,,,,,,,,,,,
18-21,1,1,2,,1,1,1,1,2,1,2,3,,1,1,1,,1,4,6,10,
22-25,,,,,,,,,,,,,,1,1,,,,,1,1,
26-30,,,,,,,,,,,,,,,,,,,,,,
40+,,,,,,,,,,,,,,,,,,,,,,
"Classification/Degree   Freshman
Objective",,1,1,,1,1,1,1,2,1,2,3,,2,2,1,,1,3,7,10,
Sophomore,1,,1,,,,,,,,,,,,,,,,1,,1,
Tuition Status                Resident Tuition,1,1,2,,1,1,1,1,2,1,2,3,,1,1,,,,3,6,9,
Non-Resident Tuition,,,,,,,,,,,,,,1,1,1,,1,1,1,2,
Residency Status           Texas Resident,1,1,2,,1,1,1,1,2,1,2,3,,1,1,,,,3,6,9,
"Non-TX, US Resident",,,,,,,,,,,,,,1,1,,,,,1,1,
"Non-TX, Non-US
Resident",,,,,,,,,,,,,,,,1,,1,1,,1,
SCH Categories              9-11 SCH,,,,,,,,,,,,,,,,,,,,,,
12-14 SCH,,1,1,,,,1,1,2,1,2,3,,1,1,,,,2,5,7,
15-17 SCH,1,,1,,1,1,,,,,,,,1,1,1,,1,2,2,4,
>17 SCH,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU Status    Half-Time,,,,,,,,,,,,,,,,,,,,,,
Full-Time,1,1,2,,1,1,1,1,2,1,2,3,,2,2,1,,1,4,7,11,
"Top 10% Texas High     No
School",,1,1,,,,1,1,2,,2,2,,2,2,1,,1,2,6,8,
Yes,1,,1,,1,1,,,,1,,1,,,,,,,2,1,3,
First Generation            No,1,1,2,,1,1,,,,,2,2,,1,1,,,,1,5,6,
Unknown,,,,,,,,,,,,,,,,1,,1,1,,1,
Yes,,,,,,,1,1,2,1,,1,,1,1,,,,2,2,4,
"Dorm / Off-campus      Off Campus
students",1,1,2,,,,,1,1,1,,1,,1,1,,,,2,3,5,
On Campus,,,,,1,1,1,,1,,2,2,,1,1,1,,1,2,4,6,
"Prepared by DARS, 22 Feb 13",,,,,,,,,,,,,,,,,,,,,,
Page 138,,,,,,,,,,,,,,,,,,,,,,
