Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,
First-Time In College Students (College Station Campus),,,,,,,,,,,,,,,,,,,,,,
College Architecture,,,,,,,,,,,,,,,,,,,,,,
Spring 2013,White Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,1,1,,,,,,,,,,,,,,,,,1,1,
TAMU Age Categories  <18,,,,,,,,,,,,,,,,,,,,,,
18-21,,1,1,,,,,,,,,,,,,,,,,1,1,
22-25,,,,,,,,,,,,,,,,,,,,,,
26-30,,,,,,,,,,,,,,,,,,,,,,
40+,,,,,,,,,,,,,,,,,,,,,,
"Classification/Degree   Freshman
Objective",,1,1,,,,,,,,,,,,,,,,,1,1,
Sophomore,,,,,,,,,,,,,,,,,,,,,,
Tuition Status                Resident Tuition,,1,1,,,,,,,,,,,,,,,,,1,1,
Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,
Residency Status           Texas Resident,,1,1,,,,,,,,,,,,,,,,,1,1,
"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,
"Non-TX, Non-US
Resident",,,,,,,,,,,,,,,,,,,,,,
SCH Categories              9-11 SCH,,,,,,,,,,,,,,,,,,,,,,
12-14 SCH,,1,1,,,,,,,,,,,,,,,,,1,1,
15-17 SCH,,,,,,,,,,,,,,,,,,,,,,
>17 SCH,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU Status    Half-Time,,,,,,,,,,,,,,,,,,,,,,
Full-Time,,1,1,,,,,,,,,,,,,,,,,1,1,
"Top 10% Texas High     No
School",,,,,,,,,,,,,,,,,,,,,,
Yes,,1,1,,,,,,,,,,,,,,,,,1,1,
First Generation            No,,1,1,,,,,,,,,,,,,,,,,1,1,
Unknown,,,,,,,,,,,,,,,,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,
"Dorm / Off-campus      Off Campus
students",,,,,,,,,,,,,,,,,,,,,,
On Campus,,1,1,,,,,,,,,,,,,,,,,1,1,
"Prepared by DARS, 22 Feb 13",,,,,,,,,,,,,,,,,,,,,,
Page 132,,,,,,,,,,,,,,,,,,,,,,
