College Veterinary Medicine,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary,,,,,,,,,,,,
Student Head Count by Level by College (College Station Campus),,,,,,,,,,,,
Spring 2013,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,"1,616",100.0%,75,100.0%,100,100.0%,526,100.0%,"2,317",100.0%,
Female,,"1,123",69.5%,46,61.3%,61,61.0%,405,77.0%,"1,635",70.6%,
Male,,493,30.5%,29,38.7%,39,39.0%,121,23.0%,682,29.4%,
Ethnicity,White Only (NEW),"1,002",62.0%,49,65.3%,51,51.0%,449,85.4%,"1,551",66.9%,
American Indian Only (NEW),,3,.2%,,,,,3,.6%,6,.3%,
Asian Only (NEW),,163,10.1%,6,8.0%,3,3.0%,13,2.5%,185,8.0%,
Black Only + 2 or more/1 Black (NEW),,65,4.0%,3,4.0%,1,1.0%,4,.8%,73,3.2%,
Hispanic or Latino of any Race (NEW),,327,20.2%,8,10.7%,7,7.0%,46,8.7%,388,16.7%,
Native Hawaii Only (New),,1,.1%,,,,,,,1,.0%,
2 or More/Excluding Black (NEW),,48,3.0%,3,4.0%,1,1.0%,2,.4%,54,2.3%,
International,,4,.2%,6,8.0%,36,36.0%,,,46,2.0%,
Unknown or Not Reported,,3,.2%,,,1,1.0%,9,1.7%,13,.6%,
TAMU Age Categories,<18,1,.1%,,,,,,,1,.0%,
18-21,,"1,248",77.2%,,,,,,,"1,248",53.9%,
22-25,,363,22.5%,45,60.0%,11,11.0%,249,47.3%,668,28.8%,
26-30,,3,.2%,19,25.3%,42,42.0%,234,44.5%,298,12.9%,
31-39,,,,10,13.3%,41,41.0%,38,7.2%,89,3.8%,
40+,,1,.1%,1,1.3%,6,6.0%,5,1.0%,13,.6%,
Enrollment Status,1st Time in College,7,.4%,,,,,,,7,.3%,
1st Time Graduate,,,,3,4.0%,2,2.0%,,,5,.2%,
1st Time Transfer,,2,.1%,,,,,,,2,.1%,
Readmitted,,3,.2%,,,,,,,3,.1%,
Continuing,,"1,604",99.3%,72,96.0%,98,98.0%,526,100.0%,"2,300",99.3%,
Tuition Status,Resident Tuition,"1,595",98.7%,69,92.0%,98,98.0%,522,99.2%,"2,284",98.6%,
Non-Resident Tuition,,21,1.3%,6,8.0%,2,2.0%,4,.8%,33,1.4%,
Residency Status,Texas Resident,"1,579",97.7%,59,78.7%,37,37.0%,496,94.3%,"2,171",93.7%,
"Non-TX, US Resident",,34,2.1%,10,13.3%,26,26.0%,30,5.7%,100,4.3%,
"Non-TX, Non-US Resident",,3,.2%,6,8.0%,37,37.0%,,,46,2.0%,
SCH Categories,< 6 SCH,11,.7%,12,16.0%,16,16.0%,,,39,1.7%,
6-8 SCH,,48,3.0%,5,6.7%,3,3.0%,,,56,2.4%,
9-11 SCH,,65,4.0%,43,57.3%,81,81.0%,,,189,8.2%,
12-14 SCH,,899,55.6%,14,18.7%,,,,,913,39.4%,
15-17 SCH,,570,35.3%,1,1.3%,,,,,571,24.6%,
>17 SCH,,23,1.4%,,,,,526,100.0%,549,23.7%,
Ft/Pt:  TAMU Status,Less Than Half Time,11,.7%,9,12.0%,8,8.0%,,,28,1.2%,
Half-Time,,113,7.0%,8,10.7%,11,11.0%,,,132,5.7%,
Full-Time,,"1,492",92.3%,58,77.3%,81,81.0%,526,100.0%,"2,157",93.1%,
Top10_TX,No,496,30.7%,73,97.3%,95,95.0%,500,95.1%,"1,164",50.2%,
Yes,,"1,120",69.3%,2,2.7%,5,5.0%,26,4.9%,"1,153",49.8%,
First Generation,No,"1,151",71.2%,50,66.7%,59,59.0%,52,9.9%,"1,312",56.6%,
Unknown,,26,1.6%,6,8.0%,22,22.0%,452,85.9%,506,21.8%,
Yes,,439,27.2%,19,25.3%,19,19.0%,22,4.2%,499,21.5%,
"Prepared by DARS, 2/20/2013",,,,,,,,,,,,
Page 16,,,,,,,,,,,,
