Demographic  Summary,,,,,,
First Generation FTIC Students (College Station Campus),,,,,,
"Prepared by DARS, 22 Feb 13",,,,,,
Spring 2013,,First Generation Undergraduates,,,Grand Total,
,,Unknown,Yes,No,,
Headcount Total,,19,33,68,120,
"Gender Ethnicity
TAMU Age
Categories
College
Enrollment Status
Tuition Status
Residency Status
SCH
Categories
Ft/Pt: TAMU
Status",Female,7,10,24,41,
,Male,12,23,44,79,
,White Only (NEW),1,14,42,57,
,Asian Only (NEW),,2,6,8,
,Black Only + 2 or more/1 Black (NEW),1,5,2,8,
,Hispanic or Latino of any Race (NEW),1,11,13,25,
,2 or More/Excluding Black (NEW),,1,5,6,
,International,16,,,16,
,<18,,,1,1,
,18-21,19,28,62,109,
,22-25,,4,4,8,
,26-30,,,1,1,
,40+,,1,,1,
,Agriculture,,4,7,11,
,Architecture,,,1,1,
,Business Admin,3,7,10,20,
,Education,1,2,5,8,
,Engineering,13,9,24,46,
,Geosciences,,1,2,3,
,Liberal Arts,1,4,8,13,
,Science,1,4,6,11,
,Veterinary Medicine,,2,5,7,
,1st Time in College,19,33,68,120,
,Resident Tuition,3,31,65,99,
,Non-Resident Tuition,16,2,3,21,
,Texas Resident,2,31,63,96,
,"Non-TX, US Resident",1,2,5,8,
,"Non-TX, Non-US Resident",16,,,16,
,9-11 SCH,,,1,1,
,12-14 SCH,14,19,47,80,
,15-17 SCH,4,14,20,38,
,>17 SCH,1,,,1,
,Half-Time,3,,1,4,
,Full-Time,16,33,67,116,
No,,16,25,44,85,
Yes,,3,8,24,35,
