Ethnicity Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,,,,,
Spring 2013,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
Education,ATTR,,,,,,,1,1,,,,,1,
,CPSY,,,,,,,,,6,6,,,6,
,EDAD,,,,,,,8,8,30,30,,,38,
,EDCI,,,,,,,6,6,36,36,,,42,
,EDHL,4,5,14,5,,28,,,,,,,28,
,EDIS,5,2,1,,,8,,,,,,,8,
,EDKI,8,5,5,3,,21,,,,,,,21,
,EDSM,7,7,6,3,,23,,,,,,,23,
,EHRD,,,,,,,7,7,20,20,,,27,
,EPSY,,,,,,,1,1,4,4,,,5,
,HEED,,,,,,,2,2,5,5,,,7,
,HLTH,,,,9,,9,,,,,,,9,
,HRDL,2,,1,2,,5,,,,,,,5,
,HRDV,,,,7,,7,,,,,,,7,
,INST,,,4,11,,15,,,,,,,15,
,KINE,,,,4,,4,4,4,6,6,,,14,
,SPMT,,,,16,,16,10,10,,,,,26,
,SPSY,,,,,,,,,4,4,,,4,
,TCMG,,,,4,,4,,,,,,,4,
,TCML,1,1,2,,,4,,,,,,,4,
,TECR,,,,,1,1,,,,,,,1,
,Subtotal,27,20,33,64,1,145,39,39,111,111,,,295,
