Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,
First-Time In College Students (College Station Campus),,,,,,,,,,,,,,,,,,,,,,
College Education,,,,,,,,,,,,,,,,,,,,,,
Spring 2013,White Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,3,1,4,,,,,1,1,2,1,3,,,,,,,5,3,8,
TAMU Age Categories  <18,,,,,,,,,,,,,,,,,,,,,,
18-21,3,1,4,,,,,1,1,2,1,3,,,,,,,5,3,8,
22-25,,,,,,,,,,,,,,,,,,,,,,
26-30,,,,,,,,,,,,,,,,,,,,,,
40+,,,,,,,,,,,,,,,,,,,,,,
"Classification/Degree   Freshman
Objective",3,1,4,,,,,1,1,2,1,3,,,,,,,5,3,8,
Sophomore,,,,,,,,,,,,,,,,,,,,,,
Tuition Status                Resident Tuition,3,1,4,,,,,1,1,2,1,3,,,,,,,5,3,8,
Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,
Residency Status           Texas Resident,3,1,4,,,,,1,1,2,1,3,,,,,,,5,3,8,
"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,
"Non-TX, Non-US
Resident",,,,,,,,,,,,,,,,,,,,,,
SCH Categories              9-11 SCH,,,,,,,,,,,,,,,,,,,,,,
12-14 SCH,2,1,3,,,,,1,1,1,1,2,,,,,,,3,3,6,
15-17 SCH,1,,1,,,,,,,1,,1,,,,,,,2,,2,
>17 SCH,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU Status    Half-Time,,,,,,,,,,,,,,,,,,,,,,
Full-Time,3,1,4,,,,,1,1,2,1,3,,,,,,,5,3,8,
"Top 10% Texas High     No
School",3,1,4,,,,,1,1,1,1,2,,,,,,,4,3,7,
Yes,,,,,,,,,,1,,1,,,,,,,1,,1,
First Generation            No,2,1,3,,,,,,,1,1,2,,,,,,,3,2,5,
Unknown,,,,,,,,,,1,,1,,,,,,,1,,1,
Yes,1,,1,,,,,1,1,,,,,,,,,,1,1,2,
"Dorm / Off-campus      Off Campus
students",3,1,4,,,,,,,1,,1,,,,,,,4,1,5,
On Campus,,,,,,,,1,1,1,1,2,,,,,,,1,2,3,
"Prepared by DARS, 22 Feb 13",,,,,,,,,,,,,,,,,,,,,,
Page 134,,,,,,,,,,,,,,,,,,,,,,
