Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,
First-Time Undergraduate Transfer Students  (College Station Campus),,,,,,,,,,,,,,,,,,,,,,,,,,,
College Liberal Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring 2013,White Only (NEW),,,American Indian Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,
Headcount Total,94,72,166,,,,2,1,3,3,,3,25,23,48,3,2,5,1,2,3,,,128,100,228,
TAMU Age               18-21,74,46,120,,,,1,1,2,3,,3,18,16,34,2,2,4,1,1,2,,,99,66,165,
22-25,16,21,37,,,,1,,1,,,,6,5,11,1,,1,,1,1,,,24,27,51,
26-30,1,3,4,,,,,,,,,,1,1,2,,,,,,,,,2,4,6,
31-39,,2,2,,,,,,,,,,,1,1,,,,,,,,,,3,3,
40+,3,,3,,,,,,,,,,,,,,,,,,,,,3,,3,
Classification/Deg Freshman,7,1,8,,,,,,,,,,2,,2,,,,,1,1,,,9,2,11,
"ree Objective
Sophomore",60,54,114,,,,1,1,2,2,,2,15,15,30,3,1,4,1,,1,,,82,71,153,
Junior,25,16,41,,,,1,,1,1,,1,7,7,14,,1,1,,1,1,,,34,25,59,
Senior,2,1,3,,,,,,,,,,1,1,2,,,,,,,,,3,2,5,
PB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status         Resident Tuition,93,72,165,,,,2,,2,3,,3,25,23,48,3,2,5,1,1,2,,,127,98,225,
Non-Resident Tuition,1,,1,,,,,1,1,,,,,,,,,,,1,1,,,1,2,3,
Residency Status    Texas Resident,93,71,164,,,,2,,2,3,,3,25,23,48,3,2,5,,,,,,126,96,222,
"Non-TX, US Resident",1,1,2,,,,,1,1,,,,,,,,,,,,,,,1,2,3,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,1,2,3,,,1,2,3,
SCH Categories       < 6 SCH,2,1,3,,,,,,,,,,,,,,,,,,,,,2,1,3,
6-8 SCH,3,1,4,,,,,,,,,,1,,1,1,,1,,,,,,5,1,6,
9-11 SCH,3,2,5,,,,,,,,,,,,,1,,1,,,,,,4,2,6,
12-14 SCH,43,36,79,,,,1,1,2,2,,2,12,13,25,,2,2,1,1,2,,,59,53,112,
15-17 SCH,42,31,73,,,,1,,1,1,,1,12,10,22,1,,1,,1,1,,,57,42,99,
>17 SCH,1,1,2,,,,,,,,,,,,,,,,,,,,,1,1,2,
Ft/Pt:  TAMU          Less Than Half Time,2,1,3,,,,,,,,,,,,,,,,,,,,,2,1,3,
"Status
Half-Time",6,3,9,,,,,,,,,,1,,1,2,,2,,,,,,9,3,12,
Full-Time,86,68,154,,,,2,1,3,3,,3,24,23,47,1,2,3,1,2,3,,,117,96,213,
Top 10% Texas        No,86,67,153,,,,2,1,3,3,,3,24,22,46,2,1,3,1,2,3,,,118,93,211,
Yes,8,5,13,,,,,,,,,,1,1,2,1,1,2,,,,,,10,7,17,
First Generation     No,70,53,123,,,,2,1,3,2,,2,13,10,23,3,2,5,,,,,,90,66,156,
Unknown,1,1,2,,,,,,,,,,,,,,,,1,2,3,,,2,3,5,
Yes,23,18,41,,,,,,,1,,1,12,13,25,,,,,,,,,36,31,67,
Dorm / Off-             Off Campus,88,63,151,,,,1,1,2,3,,3,19,15,34,3,2,5,1,2,3,,,115,83,198,
"campus students
On Campus",6,9,15,,,,1,,1,,,,6,8,14,,,,,,,,,13,17,30,
Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,
High School,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by DARS, 22 Feb 13",,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 147,,,,,,,,,,,,,,,,,,,,,,,,,,,
