Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,
First-Time Undergraduate Transfer Students  (College Station Campus),,,,,,,,,,,,,,,,,,,,,,,,,,,
College Agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring 2013,White Only (NEW),,,American Indian Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,
Headcount Total,84,118,202,2,1,3,3,1,4,,5,5,20,20,40,2,1,3,1,1,2,1,1,112,148,260,
TAMU Age               18-21,57,65,122,2,1,3,1,,1,,4,4,15,12,27,1,1,2,,1,1,1,1,76,85,161,
22-25,23,41,64,,,,2,1,3,,1,1,5,5,10,1,,1,1,,1,,,32,48,80,
26-30,1,8,9,,,,,,,,,,,2,2,,,,,,,,,1,10,11,
31-39,1,3,4,,,,,,,,,,,1,1,,,,,,,,,1,4,5,
40+,2,1,3,,,,,,,,,,,,,,,,,,,,,2,1,3,
Classification/Deg Freshman,2,5,7,,,,,,,,1,1,,,,1,,1,,,,,,3,6,9,
"ree Objective
Sophomore",41,67,108,2,,2,3,,3,,1,1,10,13,23,1,1,2,1,1,2,,,58,83,141,
Junior,35,41,76,,1,1,,,,,2,2,8,6,14,,,,,,,1,1,43,51,94,
Senior,3,5,8,,,,,,,,1,1,2,1,3,,,,,,,,,5,7,12,
PB,3,,3,,,,,1,1,,,,,,,,,,,,,,,3,1,4,
Tuition Status         Resident Tuition,79,116,195,2,1,3,3,1,4,,3,3,20,20,40,1,1,2,,,,1,1,105,143,248,
Non-Resident Tuition,5,2,7,,,,,,,,2,2,,,,1,,1,1,1,2,,,7,5,12,
Residency Status    Texas Resident,81,116,197,2,1,3,3,1,4,,3,3,20,20,40,1,1,2,,,,1,1,107,143,250,
"Non-TX, US Resident",3,2,5,,,,,,,,2,2,,,,1,,1,,,,,,4,4,8,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,1,1,2,,,1,1,2,
SCH Categories       < 6 SCH,3,,3,,,,,,,,,,,,,,,,,,,,,3,,3,
6-8 SCH,3,1,4,,,,1,,1,,,,,1,1,,,,,,,,,4,2,6,
9-11 SCH,3,8,11,,,,,,,,,,1,,1,,,,,,,,,4,8,12,
12-14 SCH,43,74,117,1,1,2,2,,2,,4,4,16,11,27,2,1,3,1,1,2,1,1,65,93,158,
15-17 SCH,32,35,67,1,,1,,1,1,,1,1,3,8,11,,,,,,,,,36,45,81,
>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU          Less Than Half Time,3,,3,,,,,,,,,,,,,,,,,,,,,3,,3,
"Status
Half-Time",6,9,15,,,,1,,1,,,,1,1,2,,,,,,,,,8,10,18,
Full-Time,75,109,184,2,1,3,2,1,3,,5,5,19,19,38,2,1,3,1,1,2,1,1,101,138,239,
Top 10% Texas        No,81,113,194,2,,2,3,1,4,,5,5,19,20,39,2,1,3,1,1,2,1,1,108,142,250,
Yes,3,5,8,,1,1,,,,,,,1,,1,,,,,,,,,4,6,10,
First Generation     No,43,76,119,2,,2,2,1,3,,2,2,6,10,16,2,1,3,,,,,,55,90,145,
Unknown,2,1,3,,,,,,,,1,1,,1,1,,,,1,1,2,,,3,4,7,
Yes,39,41,80,,1,1,1,,1,,2,2,14,9,23,,,,,,,1,1,54,54,108,
Dorm / Off-             Off Campus,82,110,192,2,1,3,2,1,3,,5,5,19,19,38,2,1,3,,1,1,1,1,107,139,246,
"campus students
On Campus",2,8,10,,,,1,,1,,,,1,1,2,,,,1,,1,,,5,9,14,
Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,
High School,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by DARS, 22 Feb 13",,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 141,,,,,,,,,,,,,,,,,,,,,,,,,,,
