Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,
First-Time Undergraduate Transfer Students  (College Station Campus),,,,,,,,,,,,,,,,,,,,,,,,,,,
College Architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring 2013,White Only (NEW),,,American Indian Only (NEW),,,Asian Only (NEW),,,Black Only + more/1 Black (NEW),,2 or,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,
Headcount Total,5,26,31,1,,1,,1,1,1,,1,3,8,11,,1,1,1,,1,,,11,36,47,
TAMU Age               18-21,5,11,16,,,,,1,1,,,,2,5,7,,1,1,,,,,,7,18,25,
22-25,,8,8,1,,1,,,,1,,1,1,,1,,,,1,,1,,,4,8,12,
26-30,,3,3,,,,,,,,,,,1,1,,,,,,,,,,4,4,
31-39,,4,4,,,,,,,,,,,2,2,,,,,,,,,,6,6,
40+,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification/Deg Freshman,2,1,3,,,,,,,,,,,,,,,,,,,,,2,1,3,
ree Objective,2,16,18,1,,1,,1,1,1,,1,3,5,8,,1,1,,,,,,7,23,30,
Junior,1,8,9,,,,,,,,,,,2,2,,,,,,,,,1,10,11,
Senior,,1,1,,,,,,,,,,,1,1,,,,1,,1,,,1,2,3,
PB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status         Resident Tuition,5,26,31,1,,1,,1,1,1,,1,3,8,11,,1,1,1,,1,,,11,36,47,
Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residency Status    Texas Resident,5,26,31,1,,1,,1,1,1,,1,3,8,11,,1,1,,,,,,10,36,46,
"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,1,,1,,,1,,1,
SCH Categories       < 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,,2,2,,,,,,,,,,,,,,,,,,,,,,2,2,
9-11 SCH,,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,
12-14 SCH,4,8,12,1,,1,,,,1,,1,3,4,7,,1,1,,,,,,9,13,22,
15-17 SCH,1,15,16,,,,,1,1,,,,,3,3,,,,1,,1,,,2,19,21,
>17 SCH,,,,,,,,,,,,,,1,1,,,,,,,,,,1,1,
Ft/Pt:  TAMU          Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status,,3,3,,,,,,,,,,,,,,,,,,,,,,3,3,
Full-Time,5,23,28,1,,1,,1,1,1,,1,3,8,11,,1,1,1,,1,,,11,33,44,
Top 10% Texas        No,4,23,27,1,,1,,1,1,1,,1,2,7,9,,1,1,1,,1,,,9,32,41,
Yes,1,3,4,,,,,,,,,,1,1,2,,,,,,,,,2,4,6,
First Generation     No,4,13,17,,,,,1,1,,,,1,4,5,,,,,,,,,5,18,23,
Unknown,,,,,,,,,,,,,,,,,,,1,,1,,,1,,1,
Yes,1,13,14,1,,1,,,,1,,1,2,4,6,,1,1,,,,,,5,18,23,
Dorm / Off-             Off Campus,3,25,28,1,,1,,1,1,,,,3,6,9,,1,1,1,,1,,,8,33,41,
campus students,2,1,3,,,,,,,1,,1,,2,2,,,,,,,,,3,3,6,
Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,
High School,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by DARS, 22 Feb 13",,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 142,,,,,,,,,,,,,,,,,,,,,,,,,,,
