Spring 2013,,White Only (NEW),,American Indian Only (NEW),,Asian Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,International,,Unknown or Not Reported,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
"Science                                  BIOL
CHEM CLSC MATH PHYS STAT
Subtotal",,442,323,2,3,96,114,37,14,197,151,1,,24,17,33,16,,2,832,640,"1,472",
,,120,132,1,2,22,32,6,5,30,45,,,5,5,46,93,3,2,233,316,549,
,,10,7,,,,,,,1,3,,,,,,,,,11,10,21,
,,139,185,,,13,13,6,6,35,74,1,,10,14,30,63,2,2,236,357,593,
,,20,143,1,1,1,11,,7,9,31,,,2,14,9,90,1,2,43,299,342,
,,25,61,,,11,6,,6,1,6,,,1,,22,23,2,5,62,107,169,
,,756,851,4,6,143,176,49,38,273,310,2,,42,50,140,285,8,13,"1,417","1,729","3,146",
"Veterinary Medicine
General Studies
Other - Special Populations",CLVM,"1,048",417,4,2,111,68,58,13,275,102,1,,36,16,3,4,8,4,"1,544",626,"2,170",
,"VIBS VLCS VSCS VTPB VTPP
Subtotal GEST
Subtotal CLMD MARA MARB MARS SABX SRPH
Subtotal",17,14,,,,2,1,,2,,,,,,6,10,1,,27,26,53,
,,12,1,,,,,,,,,,,,,1,,,,13,1,14,
,,2,2,,,,,,,,2,,,,,2,4,,,4,8,12,
,,22,3,,,2,,1,,3,2,,,1,,3,3,,,32,8,40,
,,8,5,,,,2,,,1,1,,,1,,5,5,,,15,13,28,
,,"1,109",442,4,2,113,72,60,13,281,107,1,,38,16,20,26,9,4,"1,635",682,"2,317",
,,886,"1,036",5,6,53,77,69,56,296,308,,3,30,33,3,12,1,6,"1,343","1,537","2,880",
,,886,"1,036",5,6,53,77,69,56,296,308,,3,30,33,3,12,1,6,"1,343","1,537","2,880",
,,,2,,,1,1,,,1,,,,1,,,,1,,4,3,7,
,,,1,,,,,,1,,,,,,,,,,,,2,2,
,,1,,,,,,,,1,,,,,,,,,,2,,2,
,,1,,,,,,,,,,,,,,,,,,1,,1,
,,1,,,,,,,,,,,,,,33,32,1,,35,32,67,
,,6,6,,,1,1,2,,1,,,,,,5,2,2,2,17,11,28,
,,9,9,,,2,2,2,1,3,,,,1,,38,34,4,2,59,48,107,
Total,,"14,636","15,666",64,65,927,"1,281",828,735,"3,807","3,836",15,24,452,480,"1,363","2,673",81,128,"22,173","24,888","47,061",
"Prepared by DARS, 20 Feb 13",,,,,,,,,,,,,,,,,,,,,,,
