Texas A&M University Student Enrollment Summary,,,,,,,
Student Head Count by Level (Qatar) Not Reported to THECB,,,,,,,
"Qatar, Spring 2013",Student Level,,,,,,
,Undergraduate,,Masters,,Total,,
,#,%,#,%,#,%,
Gender                      Total,526,100.0%,35,100.0%,561,100.0%,
Female,202,38.4%,15,42.9%,217,38.7%,
Male,324,61.6%,20,57.1%,344,61.3%,
TAMU Age                <18,1,.2%,,,1,.2%,
Categories                18-21,335,63.7%,,,335,59.7%,
22-25,171,32.5%,22,62.9%,193,34.4%,
26-30,9,1.7%,11,31.4%,20,3.6%,
31-39,8,1.5%,2,5.7%,10,1.8%,
40+,2,.4%,,,2,.4%,
Enrollment Status   1st Time in College,6,1.1%,,,6,1.1%,
1st Time Graduate,,,2,5.7%,2,.4%,
1st Time Transfer,5,1.0%,,,5,.9%,
Readmitted,1,.2%,,,1,.2%,
Continuing,514,97.7%,33,94.3%,547,97.5%,
SCH Categories       < 6 SCH,27,5.1%,4,11.4%,31,5.5%,
6-8 SCH,19,3.6%,9,25.7%,28,5.0%,
9-11 SCH,40,7.6%,19,54.3%,59,10.5%,
12-14 SCH,169,32.1%,3,8.6%,172,30.7%,
15-17 SCH,243,46.2%,,,243,43.3%,
>17 SCH,28,5.3%,,,28,5.0%,
Ft/Pt: TAMU          Less Than Half Time,27,5.1%,3,8.6%,30,5.3%,
Status                        Half-Time,59,11.2%,10,28.6%,69,12.3%,
Full-Time,440,83.7%,22,62.9%,462,82.4%,
First Generation      No,13,2.5%,1,2.9%,14,2.5%,
Unknown,511,97.1%,34,97.1%,545,97.1%,
Yes,2,.4%,,,2,.4%,
"Prepared by DARS, 2/20/2013",,,,,,,
Page 6,,,,,,,
