Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,
First-Time In College Students (College Station Campus),,,,,,,,,,,,,,,,,,,,,,
College Engineering,,,,,,,,,,,,,,,,,,,,,,
Spring 2013,White Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,2,14,16,2,4,6,,2,2,1,7,8,,2,2,3,9,12,8,38,46,
TAMU Age Categories  <18,,,,,,,,1,1,,,,,,,,,,,1,1,
18-21,2,11,13,2,3,5,,1,1,1,7,8,,2,2,3,9,12,8,33,41,
22-25,,2,2,,1,1,,,,,,,,,,,,,,3,3,
26-30,,,,,,,,,,,,,,,,,,,,,,
40+,,1,1,,,,,,,,,,,,,,,,,1,1,
"Classification/Degree   Freshman
Objective",2,14,16,2,2,4,,2,2,1,7,8,,2,2,3,8,11,8,35,43,
Sophomore,,,,,2,2,,,,,,,,,,,1,1,,3,3,
Tuition Status                Resident Tuition,2,14,16,2,4,6,,2,2,1,7,8,,2,2,,1,1,5,30,35,
Non-Resident Tuition,,,,,,,,,,,,,,,,3,8,11,3,8,11,
Residency Status           Texas Resident,2,13,15,2,4,6,,2,2,1,7,8,,2,2,,,,5,28,33,
"Non-TX, US Resident",,1,1,,,,,,,,,,,,,,,,,1,1,
"Non-TX, Non-US
Resident",,,,,,,,,,,,,,,,3,9,12,3,9,12,
SCH Categories              9-11 SCH,,,,,,,,,,,,,,,,,,,,,,
12-14 SCH,1,8,9,1,3,4,,2,2,1,5,6,,1,1,3,7,10,6,26,32,
15-17 SCH,1,6,7,1,1,2,,,,,2,2,,1,1,,1,1,2,11,13,
>17 SCH,,,,,,,,,,,,,,,,,1,1,,1,1,
Ft/Pt:  TAMU Status    Half-Time,,,,,,,,,,,,,,,,1,,1,1,,1,
Full-Time,2,14,16,2,4,6,,2,2,1,7,8,,2,2,2,9,11,7,38,45,
"Top 10% Texas High     No
School",1,7,8,,3,3,,1,1,1,6,7,,,,3,8,11,5,25,30,
Yes,1,7,8,2,1,3,,1,1,,1,1,,2,2,,1,1,3,13,16,
First Generation            No,2,10,12,2,3,5,,1,1,1,3,4,,2,2,,,,5,19,24,
Unknown,,1,1,,,,,,,,,,,,,3,9,12,3,10,13,
Yes,,3,3,,1,1,,1,1,,4,4,,,,,,,,9,9,
"Dorm / Off-campus      Off Campus
students",1,3,4,,2,2,,1,1,,4,4,,,,2,2,4,3,12,15,
On Campus,1,11,12,2,2,4,,1,1,1,3,4,,2,2,1,7,8,5,26,31,
"Prepared by DARS, 22 Feb 13",,,,,,,,,,,,,,,,,,,,,,
Page 135,,,,,,,,,,,,,,,,,,,,,,
