Ethnicity Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,,,,,
Spring 2013,,Undergradu,,,ate,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
Agriculture,AGBU,,,,1,,1,,,,,,,1,
,AGCJ,,3,4,6,,13,,,,,,,13,
,AGLS,3,3,1,,2,9,,,,,,,9,
,AGRO,,,,,,,1,1,,,,,1,
,AGSC,,1,,,,1,,,,,,,1,
,AGSM,1,,,,,1,,,,,,,1,
,ALEC,,,,,,,2,2,8,8,,,10,
,ALED,12,5,15,22,,54,,,,,,,54,
,ANBR,,,,,,,1,1,,,,,1,
,ANSC,1,2,2,1,,6,2,2,1,1,,,9,
,BAEN,1,,,4,,5,1,1,2,2,,,8,
,BESC,,1,3,6,,10,,,,,,,10,
,BICH,2,4,5,6,,17,,,,,,,17,
,ENTO,,,2,,,2,,,1,1,,,3,
,FIVL,1,1,,,,2,,,,,,,2,
,FORS,,,,,,,,,1,1,,,1,
,FSTC,1,1,1,2,,5,1,1,,,,,6,
,GENE,,2,1,1,,4,,,1,1,,,5,
,MEPS,,,,,,,,,1,1,,,1,
,NUSC,,1,6,8,,15,,,,,,,15,
,PLPA,,,,,,,,,1,1,,,1,
,POSC,,1,1,3,,5,,,1,1,,,6,
,RENR,,1,1,,,2,,,,,,,2,
,RLEM,,,,,,,,,1,1,,,1,
,RPTS,2,4,9,6,,21,1,1,4,4,,,26,
,TOXI,,,,,,,1,1,,,,,1,
,USAL,,1,3,7,,11,,,,,,,11,
,WFSC,1,2,2,3,,8,1,1,2,2,,,11,
,WMHS,,,,,,,1,1,,,,,1,
,Subtotal,25,33,56,76,2,192,12,12,24,24,,,228,
