Spring 2013,,Undergraduate,,,,Masters,,,Doctoral,,,Profession al,Total,
,,1st Time in College,1st Time Transfer,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,,
"Veterinary Medicine           CLVM VIBS VLCS VSCS VTPB VTPP
Subtotal",,7,2,3,"1,604",2,,19,,,7,526,"2,170",
,,,,,,,,26,,,27,,53,
,,,,,,,,10,,,4,,14,
,,,,,,,,3,,,9,,12,
,,,,,,,,7,1,,32,,40,
,,,,,,1,,7,1,,19,,28,
,,7,2,3,"1,604",3,,72,2,,98,526,"2,317",
"General Studies
Other - Special Populations
University",GEST,,,,"2,880",,,,,,,,"2,880",
,"Subtotal CLMD MARA MARB MARS SABX SRPH
Subtotal Total",,,,"2,880",,,,,,,,"2,880",
,,,,,,,,7,,,,,7,
,,,,,2,,,,,,,,2,
,,,,,2,,,,,,,,2,
,,,,,1,,,,,,,,1,
,,,,,57,,,10,,,,,67,
,,,,,,10,,18,,,,,28,
,,,,,62,10,,35,,,,,107,
,,120,851,239,36318,387,10,4089,106,5,4410,526,47061,
"Prepared by DARS, 20 Feb 13",,,,,,,,,,,,,,
