Ethnicity Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,,,,,
Spring 2013,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
"Architecture           ARCH COMG COSC COSL ENDL ENDS LDEV URPL URSC USAR VISL VIST
Subtotal",,,,,,,,1,1,,,,,1,
,,,,,,,,2,2,,,,,2,
,,,,,7,,7,,,,,,,7,
,,,2,2,,,4,,,,,,,4,
,,2,,2,,,4,,,,,,,4,
,,,,,1,,1,,,,,,,1,
,,,,,,,,1,1,,,,,1,
,,,,,,,,2,2,,,,,2,
,,,1,,2,,3,,,2,2,,,5,
,,,,1,1,,2,,,,,,,2,
,,,1,3,,,4,,,,,,,4,
,,,,,1,,1,,,,,,,1,
,,2,4,8,12,,26,6,6,2,2,,,34,
Business Admin,ACCT,,1,4,12,,17,4,4,1,1,,,22,
,"BHNR BUAD EMBA FINC INFO MGMT MISY MKTG PMBA USBU
Subtotal",,,,2,,2,,,,,,,2,
,,10,18,3,,,31,6,6,,,,,37,
,,,,,,,,9,9,,,,,9,
,,,,1,5,,6,,,,,,,6,
,,,,4,5,,9,,,,,,,9,
,,,,7,4,,11,,,2,2,,,13,
,,,,,,,,3,3,,,,,3,
,,,,3,4,,7,1,1,,,,,8,
,,,,,,,,1,1,,,,,1,
,,,,5,3,,8,,,,,,,8,
,,10,19,27,35,,91,24,24,3,3,,,118,
