Spring 2013,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,
Education,ATTR,,,,,,,8,8,,,,,8
,BIED,,,,,,,3,3,,,,,3
,CPSY,,,,,,,,,12,12,,,12
,EDAD,,,,,,,33,33,72,72,,,105
,EDCI,,,,,,,161,161,71,71,,,232
,EDHL,44,155,191,87,,477,,,,,,,477
,EDIS,90,158,116,35,1,400,,,,,,,400
,EDKI,71,161,186,74,,492,,,,,,,492
,EDSM,25,69,68,25,,187,,,,,,,187
,EDTC,,,,,,,2,2,,,,,2
,EHRD,,,,,,,45,45,30,30,,,75
,EPSY,,,,,,,11,11,34,34,,,45
,GENE,,,,,,,,,1,1,,,1
,HEED,,,,,,,22,22,7,7,,,29
,HLTH,,,11,200,3,214,,,,,,,214
,HRDL,6,18,46,13,,83,,,,,,,83
,HRDV,,,8,86,,94,,,,,,,94
,INST,,41,132,596,2,771,,,,,,,771
,KINE,,,10,186,1,197,21,21,34,34,,,252
,NUTR,,,,,,,2,2,,,,,2
,SPED,,,,,,,23,23,,,,,23
,SPMT,,,25,118,,143,30,30,,,,,173
,SPSY,,,,,,,,,20,20,,,20
,TCMG,,,,29,,29,,,,,,,29
,TCML,3,6,28,15,,52,,,,,,,52
,TECR,,,,,4,4,,,,,,,4
,USEH,,1,,2,,3,,,,,,,3
,Subtotal,239,609,821,"1,466",11,"3,146",361,361,281,281,,,"3,788"
