Spring 2013,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,
Education,CPSY,,,,,,,,,2,2,,,2
,EDAD,,,,,,,3,3,3,3,,,6
,EDCI,,,,,,,4,4,1,1,,,5
,EDHL,1,8,12,6,,27,,,,,,,27
,EDIS,1,,2,,,3,,,,,,,3
,EDKI,2,6,6,3,,17,,,,,,,17
,EDSM,,3,,,,3,,,,,,,3
,EHRD,,,,,,,2,2,6,6,,,8
,EPSY,,,,,,,,,3,3,,,3
,HEED,,,,,,,3,3,2,2,,,5
,HLTH,,,1,7,,8,,,,,,,8
,HRDL,,1,1,3,,5,,,,,,,5
,HRDV,,,1,2,,3,,,,,,,3
,INST,1,,,4,,5,,,,,,,5
,KINE,,,,5,,5,1,1,2,2,,,8
,NUTR,,,,,,,1,1,,,,,1
,SPED,,,,,,,1,1,,,,,1
,SPMT,,,,1,,1,1,1,,,,,2
,SPSY,,,,,,,,,3,3,,,3
,TCMG,,,,4,,4,,,,,,,4
,TCML,,,2,1,,3,,,,,,,3
,TECR,,,,,1,1,,,,,,,1
,Subtotal,5,18,25,36,1,85,16,16,22,22,,,123
