Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,
First-Time In College Students (College Station Campus),,,,,,,,,,,,,,,,,,,,,,
College Business Admin,,,,,,,,,,,,,,,,,,,,,,
Spring 2013,White Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,6,8,14,,,,1,,1,,2,2,,,,2,1,3,9,11,20,
TAMU Age Categories  <18,,,,,,,,,,,,,,,,,,,,,,
18-21,6,7,13,,,,1,,1,,2,2,,,,2,1,3,9,10,19,
22-25,,1,1,,,,,,,,,,,,,,,,,1,1,
26-30,,,,,,,,,,,,,,,,,,,,,,
40+,,,,,,,,,,,,,,,,,,,,,,
"Classification/Degree   Freshman
Objective",6,8,14,,,,1,,1,,2,2,,,,2,1,3,9,11,20,
Sophomore,,,,,,,,,,,,,,,,,,,,,,
Tuition Status                Resident Tuition,5,7,12,,,,1,,1,,1,1,,,,,,,6,8,14,
Non-Resident Tuition,1,1,2,,,,,,,,1,1,,,,2,1,3,3,3,6,
Residency Status           Texas Resident,5,7,12,,,,1,,1,,1,1,,,,,,,6,8,14,
"Non-TX, US Resident",1,1,2,,,,,,,,1,1,,,,,,,1,2,3,
"Non-TX, Non-US
Resident",,,,,,,,,,,,,,,,2,1,3,2,1,3,
SCH Categories              9-11 SCH,,1,1,,,,,,,,,,,,,,,,,1,1,
12-14 SCH,5,5,10,,,,1,,1,,2,2,,,,,1,1,6,8,14,
15-17 SCH,1,2,3,,,,,,,,,,,,,2,,2,3,2,5,
>17 SCH,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU Status    Half-Time,,1,1,,,,,,,,,,,,,2,,2,2,1,3,
Full-Time,6,7,13,,,,1,,1,,2,2,,,,,1,1,7,10,17,
"Top 10% Texas High     No
School",5,6,11,,,,,,,,2,2,,,,2,1,3,7,9,16,
Yes,1,2,3,,,,1,,1,,,,,,,,,,2,2,4,
First Generation            No,3,5,8,,,,1,,1,,1,1,,,,,,,4,6,10,
Unknown,,,,,,,,,,,,,,,,2,1,3,2,1,3,
Yes,3,3,6,,,,,,,,1,1,,,,,,,3,4,7,
"Dorm / Off-campus      Off Campus
students",2,4,6,,,,,,,,1,1,,,,2,1,3,4,6,10,
On Campus,4,4,8,,,,1,,1,,1,1,,,,,,,5,5,10,
"Prepared by DARS, 22 Feb 13",,,,,,,,,,,,,,,,,,,,,,
Page 133,,,,,,,,,,,,,,,,,,,,,,
