College Business Admin,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary,,,,,,,,,,,,
Student Head Count by Level by College (College Station Campus),,,,,,,,,,,,
Spring 2013,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,"4,307",100.0%,686,100.0%,68,100.0%,,,"5,061",100.0%,
Female,,"2,096",48.7%,276,40.2%,17,25.0%,,,"2,389",47.2%,
Male,,"2,211",51.3%,410,59.8%,51,75.0%,,,"2,672",52.8%,
Ethnicity,White Only (NEW),"3,266",75.8%,410,59.8%,27,39.7%,,,"3,703",73.2%,
American Indian Only (NEW),,8,.2%,1,.1%,,,,,9,.2%,
Asian Only (NEW),,215,5.0%,38,5.5%,5,7.4%,,,258,5.1%,
Black Only + 2 or more/1 Black (NEW),,91,2.1%,24,3.5%,3,4.4%,,,118,2.3%,
Hispanic or Latino of any Race (NEW),,596,13.8%,50,7.3%,2,2.9%,,,648,12.8%,
Native Hawaii Only (New),,3,.1%,,,,,,,3,.1%,
2 or More/Excluding Black (NEW),,78,1.8%,2,.3%,,,,,80,1.6%,
International,,42,1.0%,142,20.7%,28,41.2%,,,212,4.2%,
Unknown or Not Reported,,8,.2%,19,2.8%,3,4.4%,,,30,.6%,
TAMU Age Categories,<18,,,,,,,,,,,
18-21,,"2,566",59.6%,1,.1%,,,,,"2,567",50.7%,
22-25,,"1,701",39.5%,409,59.6%,5,7.4%,,,"2,115",41.8%,
26-30,,19,.4%,139,20.3%,23,33.8%,,,181,3.6%,
31-39,,12,.3%,76,11.1%,35,51.5%,,,123,2.4%,
40+,,9,.2%,61,8.9%,5,7.4%,,,75,1.5%,
Enrollment Status,1st Time in College,20,.5%,,,,,,,20,.4%,
1st Time Graduate,,,,45,6.6%,,,,,45,.9%,
1st Time Transfer,,1,.0%,,,,,,,1,.0%,
Readmitted,,9,.2%,,,,,,,9,.2%,
Continuing,,"4,277",99.3%,641,93.4%,68,100.0%,,,"4,986",98.5%,
Tuition Status,Resident Tuition,"4,236",98.4%,605,88.2%,66,97.1%,,,"4,907",97.0%,
Non-Resident Tuition,,71,1.6%,81,11.8%,2,2.9%,,,154,3.0%,
Residency Status,Texas Resident,"4,182",97.1%,516,75.2%,15,22.1%,,,"4,713",93.1%,
"Non-TX, US Resident",,82,1.9%,26,3.8%,24,35.3%,,,132,2.6%,
"Non-TX, Non-US Resident",,43,1.0%,144,21.0%,29,42.6%,,,216,4.3%,
SCH Categories,< 6 SCH,29,.7%,30,4.4%,1,1.5%,,,60,1.2%,
6-8 SCH,,60,1.4%,184,26.8%,1,1.5%,,,245,4.8%,
9-11 SCH,,268,6.2%,173,25.2%,62,91.2%,,,503,9.9%,
12-14 SCH,,"2,546",59.1%,219,31.9%,4,5.9%,,,"2,769",54.7%,
15-17 SCH,,"1,322",30.7%,70,10.2%,,,,,"1,392",27.5%,
>17 SCH,,82,1.9%,10,1.5%,,,,,92,1.8%,
Ft/Pt:  TAMU Status,Less Than Half Time,29,.7%,29,4.2%,1,1.5%,,,59,1.2%,
Half-Time,,330,7.7%,186,27.1%,1,1.5%,,,517,10.2%,
Full-Time,,"3,948",91.7%,471,68.7%,66,97.1%,,,"4,485",88.6%,
Top10_TX,No,"2,065",47.9%,642,93.6%,64,94.1%,,,"2,771",54.8%,
Yes,,"2,242",52.1%,44,6.4%,4,5.9%,,,"2,290",45.2%,
First Generation,No,"3,337",77.5%,73,10.6%,13,19.1%,,,"3,423",67.6%,
Unknown,,102,2.4%,597,87.0%,55,80.9%,,,754,14.9%,
Yes,,868,20.2%,16,2.3%,,,,,884,17.5%,
"Prepared by DARS, 2/20/2013",,,,,,,,,,,,
Page 9,,,,,,,,,,,,
