Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,
First-Time Undergraduate Transfer Students  (College Station Campus),,,,,,,,,,,,,,,,,,,,,,,,,,,
College Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring 2013,White Only (NEW),,,American Indian Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,
Headcount Total,1,,1,,,,,,,,,,,,,,,,,,,,,1,,1,
TAMU Age               18-21,1,,1,,,,,,,,,,,,,,,,,,,,,1,,1,
22-25,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-30,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-39,,,,,,,,,,,,,,,,,,,,,,,,,,,
40+,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification/Deg Freshman,1,,1,,,,,,,,,,,,,,,,,,,,,1,,1,
ree Objective,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junior,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senior,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status         Resident Tuition,1,,1,,,,,,,,,,,,,,,,,,,,,1,,1,
Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residency Status    Texas Resident,1,,1,,,,,,,,,,,,,,,,,,,,,1,,1,
"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,,,,,,,
SCH Categories       < 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-14 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-17 SCH,1,,1,,,,,,,,,,,,,,,,,,,,,1,,1,
>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU          Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-Time,1,,1,,,,,,,,,,,,,,,,,,,,,1,,1,
Top 10% Texas        No,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,1,,1,,,,,,,,,,,,,,,,,,,,,1,,1,
First Generation     No,1,,1,,,,,,,,,,,,,,,,,,,,,1,,1,
Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorm / Off-             Off Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,
campus students,1,,1,,,,,,,,,,,,,,,,,,,,,1,,1,
Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,
High School,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by DARS, 22 Feb 13",,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 143,,,,,,,,,,,,,,,,,,,,,,,,,,,
