Spring 2013,,Undergraduate,,,,Masters,,,Doctoral,,,Profession al,Total,
,,1st Time in College,1st Time Transfer,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,,
Science,APHY,,,,,,,,,,14,,14,
,APMS,1,4,,189,,,,,,,,194,
,BIOL,6,27,5,"1,079",,,4,1,,63,,"1,185",
,BMCB,,1,,99,,,,,,,,100,
,BOTN,,,,,,,,,,2,,2,
,CHEM,,5,2,282,,,7,,,252,,548,
,GENE,,,,,1,,,,,1,,2,
,MATH,1,7,1,241,4,,33,1,,111,,399,
,MBIO,,1,,83,,,1,,,12,,97,
,MSEN,,,,,,,,,,2,,2,
,PHYS,3,1,,157,1,,16,2,,147,,327,
,STAT,,,,,20,2,92,,,55,,169,
,USSC,,,,21,,,,,,,,21,
,ZOOL,,3,1,76,,,,,,6,,86,
,Subtotal,11,49,9,"2,227",26,2,153,4,,665,,"3,146",
"Veterinary Medicine
General Studies
Other - Special Populations
University",BIMS,7,2,3,"1,602",3,,59,,,48,,"1,724",
,BIOT,,,,,,,1,,,,,1,
,EPID,,,,,,,1,,,,,1,
,GENE,,,,,,,,,,11,,11,
,LAMD,,,,,,,1,,,,,1,
,STJR,,,,,,,8,,,,,8,
,TOXI,,,,,,,,1,,12,,13,
,USVM,,,,2,,,,,,,,2,
,VPAT,,,,,,,,1,,15,,16,
,VPHY,,,,,,,,,,1,,1,
,VTMD,,,,,,,,,,,526,526,
,VTMI,,,,,,,,,,11,,11,
,VTPH,,,,,,,2,,,,,2,
,Subtotal,7,2,3,"1,604",3,,72,2,,98,526,"2,317",
,GEST,,,,"1,772",,,,,,,,"1,772",
,TEAM,,,,"1,108",,,,,,,,"1,108",
,Subtotal,,,,"2,880",,,,,,,,"2,880",
,MARA,,,,2,,,,,,,,2,
,MARB,,,,2,,,,,,,,2,
,MARS,,,,1,,,,,,,,1,
,MDSC,,,,,,,7,,,,,7,
,PHLT,,,,,10,,18,,,,,28,
,REEP,,,,57,,,10,,,,,67,
,Subtotal,,,,62,10,,35,,,,,107,
,Total,120,851,239,"36,318",387,10,"4,089",106,5,"4,410",526,"47,061",
"Prepared by DARS, 20 Feb 13",,,,,,,,,,,,,,
