Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,
First-Time Undergraduate Transfer Students  (College Station Campus),,,,,,,,,,,,,,,,,,,,,,,,,,,
College Veterinary Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring 2013,White Only (NEW),,,American Indian Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,
Headcount Total,1,1,2,,,,,,,,,,,,,,,,,,,,,1,1,2,
TAMU Age               18-21,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-25,1,1,2,,,,,,,,,,,,,,,,,,,,,1,1,2,
26-30,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-39,,,,,,,,,,,,,,,,,,,,,,,,,,,
40+,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification/Deg Freshman,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ree Objective
Sophomore",,,,,,,,,,,,,,,,,,,,,,,,,,,
Junior,1,1,2,,,,,,,,,,,,,,,,,,,,,1,1,2,
Senior,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status         Resident Tuition,1,,1,,,,,,,,,,,,,,,,,,,,,1,,1,
Non-Resident Tuition,,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,
Residency Status    Texas Resident,1,1,2,,,,,,,,,,,,,,,,,,,,,1,1,2,
"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,,,,,,,
SCH Categories       < 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,
9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-14 SCH,1,,1,,,,,,,,,,,,,,,,,,,,,1,,1,
15-17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU          Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Status
Half-Time",,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,
Full-Time,1,,1,,,,,,,,,,,,,,,,,,,,,1,,1,
Top 10% Texas        No,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,1,1,2,,,,,,,,,,,,,,,,,,,,,1,1,2,
First Generation     No,1,1,2,,,,,,,,,,,,,,,,,,,,,1,1,2,
Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorm / Off-             Off Campus,1,1,2,,,,,,,,,,,,,,,,,,,,,1,1,2,
"campus students
On Campus",,,,,,,,,,,,,,,,,,,,,,,,,,,
Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,
High School,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by DARS, 22 Feb 13",,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 149,,,,,,,,,,,,,,,,,,,,,,,,,,,
