Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,
First-Time In College Students (College Station Campus),,,,,,,,,,,,,,,,,,,,,,
College Liberal Arts,,,,,,,,,,,,,,,,,,,,,,
Spring 2013,White Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,5,3,8,,,,,1,1,2,1,3,1,,1,,,,8,5,13,
TAMU Age Categories  <18,,,,,,,,,,,,,,,,,,,,,,
18-21,5,3,8,,,,,1,1,2,,2,1,,1,,,,8,4,12,
22-25,,,,,,,,,,,,,,,,,,,,,,
26-30,,,,,,,,,,,1,1,,,,,,,,1,1,
40+,,,,,,,,,,,,,,,,,,,,,,
"Classification/Degree   Freshman
Objective",3,3,6,,,,,1,1,2,1,3,1,,1,,,,6,5,11,
Sophomore,2,,2,,,,,,,,,,,,,,,,2,,2,
Tuition Status                Resident Tuition,5,3,8,,,,,,,2,,2,1,,1,,,,8,3,11,
Non-Resident Tuition,,,,,,,,1,1,,1,1,,,,,,,,2,2,
Residency Status           Texas Resident,5,2,7,,,,,,,2,,2,1,,1,,,,8,2,10,
"Non-TX, US Resident",,1,1,,,,,1,1,,1,1,,,,,,,,3,3,
"Non-TX, Non-US
Resident",,,,,,,,,,,,,,,,,,,,,,
SCH Categories              9-11 SCH,,,,,,,,,,,,,,,,,,,,,,
12-14 SCH,3,2,5,,,,,1,1,,,,1,,1,,,,4,3,7,
15-17 SCH,2,1,3,,,,,,,2,1,3,,,,,,,4,2,6,
>17 SCH,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU Status    Half-Time,,,,,,,,,,,,,,,,,,,,,,
Full-Time,5,3,8,,,,,1,1,2,1,3,1,,1,,,,8,5,13,
"Top 10% Texas High     No
School",4,3,7,,,,,1,1,1,1,2,1,,1,,,,6,5,11,
Yes,1,,1,,,,,,,1,,1,,,,,,,2,,2,
First Generation            No,4,2,6,,,,,,,,1,1,1,,1,,,,5,3,8,
Unknown,,,,,,,,1,1,,,,,,,,,,,1,1,
Yes,1,1,2,,,,,,,2,,2,,,,,,,3,1,4,
"Dorm / Off-campus      Off Campus
students",3,,3,,,,,1,1,,1,1,,,,,,,3,2,5,
On Campus,2,3,5,,,,,,,2,,2,1,,1,,,,5,3,8,
"Prepared by DARS, 22 Feb 13",,,,,,,,,,,,,,,,,,,,,,
Page 137,,,,,,,,,,,,,,,,,,,,,,
