Spring 2013,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
"Veterinary Medicine    BIMS TOXI VPAT VTMD
Subtotal",,39,31,35,58,,163,6,6,1,1,,,170,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,,,13,13,13,
,,39,31,35,58,,163,6,6,3,3,13,13,185,
"General Studies
Other - Special Populations
University",GEST,35,62,1,,,98,,,,,,,98,
,"TEAM
Subtotal MDSC PHLT
Subtotal Total",24,7,1,,,32,,,,,,,32,
,,59,69,2,,,130,,,,,,,130,
,,,,,,,,2,2,,,,,2,
,,,,,,,,2,2,,,,,2,
,,,,,,,,4,4,,,,,4,
,,284,429,441,693,9,"1,856",200,200,139,139,13,13,"2,208",
"Prepared by DARS, 20 Feb 13",,,,,,,,,,,,,,,
