Ethnicity 2 or More/Excluding Black (NEW),,,,,,,,,,,,,,,
Spring 2013,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
Agriculture,AGBL,,1,,,,1,,,,,,,1,
,AGBU,,,1,2,,3,,,,,,,3,
,AGCJ,,2,2,3,,7,,,,,,,7,
,AGEC,,1,,1,,2,,,,,,,2,
,AGLS,,,,1,,1,,,,,,,1,
,AGRO,,1,1,2,,4,,,,,,,4,
,AGSC,,,,1,,1,,,,,,,1,
,AGSM,,1,1,1,,3,,,,,,,3,
,ALEC,,,,,,,1,1,,,,,1,
,ALED,,1,2,3,,6,,,,,,,6,
,ANSC,2,5,7,7,,21,1,1,,,,,22,
,BAEN,,,2,3,,5,1,1,,,,,6,
,BESC,,2,,1,,3,,,,,,,3,
,BICH,,2,2,2,1,7,,,1,1,,,8,
,ENST,,,1,,,1,,,,,,,1,
,ENTO,1,,,1,,2,,,,,,,2,
,FIVL,,1,,,,1,,,,,,,1,
,FIVS,,,,1,,1,,,,,,,1,
,FSTC,,1,1,1,,3,1,1,,,,,4,
,GENE,,1,1,1,,3,,,,,,,3,
,HORT,1,,,2,,3,,,,,,,3,
,NRDV,,,,,,,1,1,,,,,1,
,NUSC,,2,2,5,,9,,,,,,,9,
,POSC,,,,1,,1,1,1,,,,,2,
,PSSC,,,,1,,1,,,,,,,1,
,RENR,,2,,,,2,,,,,,,2,
,RLEM,,,,1,,1,,,,,,,1,
,RPTS,,2,2,3,,7,,,,,,,7,
,SPSA,,,,1,,1,,,,,,,1,
,USAL,1,1,,1,,3,,,,,,,3,
,WFSC,,,2,4,,6,,,,,,,6,
,Subtotal,5,26,27,50,1,109,6,6,1,1,,,116,
