Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,
First-Time In College Students (College Station Campus),,,,,,,,,,,,,,,,,,,,,,
College Agriculture,,,,,,,,,,,,,,,,,,,,,,
Spring 2013,White Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,1,4,5,,,,,1,1,2,3,5,,,,,,,3,8,11,
TAMU Age Categories  <18,,,,,,,,,,,,,,,,,,,,,,
18-21,1,3,4,,,,,1,1,2,2,4,,,,,,,3,6,9,
22-25,,1,1,,,,,,,,1,1,,,,,,,,2,2,
26-30,,,,,,,,,,,,,,,,,,,,,,
40+,,,,,,,,,,,,,,,,,,,,,,
"Classification/Degree   Freshman
Objective",1,4,5,,,,,1,1,,3,3,,,,,,,1,8,9,
Sophomore,,,,,,,,,,2,,2,,,,,,,2,,2,
Tuition Status                Resident Tuition,1,4,5,,,,,1,1,2,3,5,,,,,,,3,8,11,
Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,
Residency Status           Texas Resident,1,4,5,,,,,1,1,2,3,5,,,,,,,3,8,11,
"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,
"Non-TX, Non-US
Resident",,,,,,,,,,,,,,,,,,,,,,
SCH Categories              9-11 SCH,,,,,,,,,,,,,,,,,,,,,,
12-14 SCH,1,4,5,,,,,1,1,2,2,4,,,,,,,3,7,10,
15-17 SCH,,,,,,,,,,,1,1,,,,,,,,1,1,
>17 SCH,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU Status    Half-Time,,,,,,,,,,,,,,,,,,,,,,
Full-Time,1,4,5,,,,,1,1,2,3,5,,,,,,,3,8,11,
"Top 10% Texas High     No
School",1,3,4,,,,,1,1,,2,2,,,,,,,1,6,7,
Yes,,1,1,,,,,,,2,1,3,,,,,,,2,2,4,
First Generation            No,1,3,4,,,,,,,2,1,3,,,,,,,3,4,7,
Unknown,,,,,,,,,,,,,,,,,,,,,,
Yes,,1,1,,,,,1,1,,2,2,,,,,,,,4,4,
"Dorm / Off-campus      Off Campus
students",,1,1,,,,,1,1,2,2,4,,,,,,,2,4,6,
On Campus,1,3,4,,,,,,,,1,1,,,,,,,1,4,5,
"Prepared by DARS, 22 Feb 13",,,,,,,,,,,,,,,,,,,,,,
Page 131,,,,,,,,,,,,,,,,,,,,,,
