Texas A&M University Student Enrollment Summary,,,,,,,,,,,
Student Head Count by Campus (All Campuses),,,,,,,,,,,
Spring 2013,Campus,,,,,,,,,,
,College Station,,Distance Ed,,Galveston,,Qatar,,Total,,
,#,%,#,%,#,%,#,%,#,%,
College                       Total,"47,061",100.0%,377,100.0%,"1,863",100.0%,561,100.0%,"49,862",100.0%,
Agriculture,"6,946",14.8%,26,6.9%,12,.6%,,,"6,984",14.0%,
Architecture,"1,823",3.9%,1,.3%,,,,,"1,824",3.7%,
Business Admin,"5,061",10.8%,35,9.3%,,,,,"5,096",10.2%,
Education,"5,410",11.5%,28,7.4%,,,,,"5,438",10.9%,
Engineering,"10,678",22.7%,51,13.5%,1,.1%,12,2.1%,"10,742",21.5%,
G. Bush School of Govt,372,.8%,40,10.6%,,,,,412,.8%,
Geosciences,"1,057",2.2%,,,8,.4%,,,"1,065",2.1%,
Liberal Arts,"7,264",15.4%,,,4,.2%,,,"7,268",14.6%,
Science,"3,146",6.7%,196,52.0%,,,,,"3,342",6.7%,
Veterinary Medicine,"2,317",4.9%,,,,,,,"2,317",4.6%,
General Studies,"2,880",6.1%,,,,,,,"2,880",5.8%,
Other - Special Populations,107,.2%,,,"1,838",98.7%,549,97.9%,"2,494",5.0%,
Gender                       Female,"22,173",47.1%,131,34.7%,703,37.7%,217,38.7%,"23,224",46.6%,
Male,"24,888",52.9%,246,65.3%,"1,160",62.3%,344,61.3%,"26,638",53.4%,
Ethnicity                    White Only (NEW),"30,302",64.4%,245,65.0%,"1,435",77.0%,12,2.1%,"31,994",64.2%,
American Indian Only (NEW),129,.3%,,,9,.5%,1,.2%,139,.3%,
Asian Only (NEW),"2,208",4.7%,31,8.2%,26,1.4%,1,.2%,"2,266",4.5%,
Black Only + 2 or more/1 Black (NEW),"1,563",3.3%,9,2.4%,52,2.8%,1,.2%,"1,625",3.3%,
Hispanic or Latino of any Race (NEW),"7,643",16.2%,10,2.7%,259,13.9%,3,.5%,"7,915",15.9%,
Native Hawaii Only (New),39,.1%,,,5,.3%,,,44,.1%,
2 or More/Excluding Black (NEW),932,2.0%,3,.8%,49,2.6%,1,.2%,985,2.0%,
International,"4,036",8.6%,71,18.8%,23,1.2%,531,94.7%,"4,661",9.3%,
Unknown or Not Reported,209,.4%,8,2.1%,5,.3%,11,2.0%,233,.5%,
TAMU Age                 <18,6,.0%,,,,,1,.2%,7,.0%,
Categories                 18-21,"22,153",47.1%,,,956,51.3%,335,59.7%,"23,444",47.0%,
22-25,"17,506",37.2%,22,5.8%,585,31.4%,193,34.4%,"18,306",36.7%,
26-30,"4,174",8.9%,91,24.1%,189,10.1%,20,3.6%,"4,474",9.0%,
31-39,"2,336",5.0%,127,33.7%,96,5.2%,10,1.8%,"2,569",5.2%,
40+,886,1.9%,137,36.3%,37,2.0%,2,.4%,"1,062",2.1%,
Enrollment Status   1st Time in College,120,.3%,,,7,.4%,6,1.1%,133,.3%,
1st Time Graduate,493,1.0%,56,14.9%,10,.5%,2,.4%,561,1.1%,
1st Time Professional,,,,,,,,,,,
1st Time Transfer,851,1.8%,,,74,4.0%,5,.9%,930,1.9%,
Readmitted,254,.5%,4,1.1%,18,1.0%,1,.2%,277,.6%,
Continuing,"45,343",96.3%,317,84.1%,"1,754",94.1%,547,97.5%,"47,961",96.2%,
SCH Categories        < 6 SCH,"2,850",6.1%,216,57.3%,63,3.4%,31,5.5%,"3,160",6.3%,
6-8 SCH,"2,390",5.1%,131,34.7%,69,3.7%,28,5.0%,"2,618",5.3%,
9-11 SCH,"7,204",15.3%,23,6.1%,122,6.5%,59,10.5%,"7,408",14.9%,
12-14 SCH,"19,360",41.1%,7,1.9%,758,40.7%,172,30.7%,"20,297",40.7%,
15-17 SCH,"13,579",28.9%,,,708,38.0%,243,43.3%,"14,530",29.1%,
>17 SCH,"1,678",3.6%,,,143,7.7%,28,5.0%,"1,849",3.7%,
Ft/Pt: TAMU           Less Than Half Time,"2,682",5.7%,200,53.1%,60,3.2%,30,5.3%,"2,972",6.0%,
Status                         Half-Time,"4,289",9.1%,147,39.0%,141,7.6%,69,12.3%,"4,646",9.3%,
Full-Time,"40,090",85.2%,30,8.0%,"1,662",89.2%,462,82.4%,"42,244",84.7%,
Top10_TX                 No,"29,932",63.6%,377,100.0%,"1,685",90.4%,556,99.1%,"32,550",65.3%,
Yes,"17,129",36.4%,,,178,9.6%,5,.9%,"17,312",34.7%,
First Generation       No,"30,551",64.9%,194,51.5%,"1,213",65.1%,14,2.5%,"31,972",64.1%,
Unknown,"4,718",10.0%,101,26.8%,102,5.5%,545,97.1%,"5,466",11.0%,
Yes,"11,792",25.1%,82,21.8%,548,29.4%,2,.4%,"12,424",24.9%,
"Data on College Station Campus is Reported to THECB according to the Reporting ManualPrepared by DARS, 2/19/2013",,,,,,,,,,,
Page 1,,,,,,,,,,,
