Ethnicity Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,,,,,
Spring 2013,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
Engineering,AERL,1,2,,,,3,,,,,,,3,
,AERO,,1,1,1,,3,,,1,1,,,4,
,BIOT,,,,,,,1,1,,,,,1,
,BMEN,,,1,4,,5,,,2,2,,,7,
,CECL,2,3,2,,,7,,,,,,,7,
,CECN,,,1,4,,5,,,,,,,5,
,CEEL,1,1,,,,2,,,,,,,2,
,CEEN,,,,4,,4,,,,,,,4,
,CHEL,1,2,1,1,,5,,,,,,,5,
,CHEN,,,2,10,,12,2,2,1,1,,,15,
,CPSC,,1,1,7,,9,,,4,4,,,13,
,CPSL,1,5,4,1,,11,,,,,,,11,
,CVEL,2,1,1,,,4,,,,,,,4,
,CVEN,,1,3,8,,12,1,1,,,,,13,
,ELEL,2,4,3,1,,10,,,,,,,10,
,ELEN,,1,4,7,,12,1,1,2,2,,,15,
,ENSM,,,,,,,3,3,,,,,3,
,ENTC,,,1,10,,11,,,,,,,11,
,ENTL,2,6,,2,,10,,,,,,,10,
,HLPH,,,,,,,2,2,,,,,2,
,IDIL,,,1,,,1,,,,,,,1,
,IDIS,,,2,9,,11,,,,,,,11,
,INEL,,3,,,,3,,,,,,,3,
,INEN,,1,1,14,,16,2,2,4,4,,,22,
,MEEL,2,4,,,,6,,,,,,,6,
,MEEN,,1,4,5,,10,2,2,3,3,,,15,
,MSEN,,,,,,,,,1,1,,,1,
,NUEL,1,1,,,,2,,,,,,,2,
,NUEN,,,2,4,,6,,,1,1,,,7,
,OCEL,1,,,,,1,,,,,,,1,
,OCEN,,,,1,,1,1,1,,,,,2,
,PETE,,1,2,8,,11,9,9,2,2,,,22,
,PETL,,2,2,,,4,,,,,,,4,
,RHEL,1,,,,,1,,,,,,,1,
,RHEN,,,1,,,1,,,,,,,1,
,SENG,,,,,,,1,1,,,,,1,
,Subtotal,17,41,40,101,,199,25,25,21,21,,,245,
G. Bush School of Govt,CAIA,,,,,,,4,4,,,,,4,
,CNPM,,,,,,,6,6,,,,,6,
,INTA,,,,,,,3,3,,,,,3,
,PSAA,,,,,,,7,7,,,,,7,
,Subtotal,,,,,,,20,20,,,,,20,
