College Architecture,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary,,,,,,,,,,,,
Student Head Count by Level by College (College Station Campus),,,,,,,,,,,,
Spring 2013,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,"1,360",100.0%,352,100.0%,111,100.0%,,,"1,823",100.0%,
Female,,450,33.1%,166,47.2%,42,37.8%,,,658,36.1%,
Male,,910,66.9%,186,52.8%,69,62.2%,,,"1,165",63.9%,
Ethnicity,White Only (NEW),954,70.1%,146,41.5%,19,17.1%,,,"1,119",61.4%,
American Indian Only (NEW),,3,.2%,,,,,,,3,.2%,
Asian Only (NEW),,36,2.6%,11,3.1%,5,4.5%,,,52,2.9%,
Black Only + 2 or more/1 Black (NEW),,26,1.9%,6,1.7%,2,1.8%,,,34,1.9%,
Hispanic or Latino of any Race (NEW),,302,22.2%,31,8.8%,5,4.5%,,,338,18.5%,
Native Hawaii Only (New),,,,,,,,,,,,
2 or More/Excluding Black (NEW),,27,2.0%,4,1.1%,,,,,31,1.7%,
International,,10,.7%,151,42.9%,77,69.4%,,,238,13.1%,
Unknown or Not Reported,,2,.1%,3,.9%,3,2.7%,,,8,.4%,
TAMU Age Categories,<18,,,,,,,,,,,
18-21,,668,49.1%,1,.3%,,,,,669,36.7%,
22-25,,640,47.1%,165,46.9%,2,1.8%,,,807,44.3%,
26-30,,32,2.4%,136,38.6%,24,21.6%,,,192,10.5%,
31-39,,18,1.3%,37,10.5%,67,60.4%,,,122,6.7%,
40+,,2,.1%,13,3.7%,18,16.2%,,,33,1.8%,
Enrollment Status,1st Time in College,1,.1%,,,,,,,1,.1%,
1st Time Graduate,,,,4,1.1%,1,.9%,,,5,.3%,
1st Time Transfer,,47,3.5%,,,,,,,47,2.6%,
Readmitted,,11,.8%,2,.6%,,,,,13,.7%,
Continuing,,"1,301",95.7%,346,98.3%,110,99.1%,,,"1,757",96.4%,
Tuition Status,Resident Tuition,"1,340",98.5%,267,75.9%,91,82.0%,,,"1,698",93.1%,
Non-Resident Tuition,,20,1.5%,85,24.1%,20,18.0%,,,125,6.9%,
Residency Status,Texas Resident,"1,322",97.2%,162,46.0%,26,23.4%,,,"1,510",82.8%,
"Non-TX, US Resident",,28,2.1%,39,11.1%,8,7.2%,,,75,4.1%,
"Non-TX, Non-US Resident",,10,.7%,151,42.9%,77,69.4%,,,238,13.1%,
SCH Categories,< 6 SCH,6,.4%,29,8.2%,16,14.4%,,,51,2.8%,
6-8 SCH,,142,10.4%,12,3.4%,2,1.8%,,,156,8.6%,
9-11 SCH,,72,5.3%,134,38.1%,89,80.2%,,,295,16.2%,
12-14 SCH,,683,50.2%,122,34.7%,3,2.7%,,,808,44.3%,
15-17 SCH,,421,31.0%,51,14.5%,,,,,472,25.9%,
>17 SCH,,36,2.6%,4,1.1%,1,.9%,,,41,2.2%,
Ft/Pt:  TAMU Status,Less Than Half Time,6,.4%,25,7.1%,16,14.4%,,,47,2.6%,
Half-Time,,216,15.9%,16,4.5%,3,2.7%,,,235,12.9%,
Full-Time,,"1,138",83.7%,311,88.4%,92,82.9%,,,"1,541",84.5%,
Top10_TX,No,790,58.1%,338,96.0%,110,99.1%,,,"1,238",67.9%,
Yes,,570,41.9%,14,4.0%,1,.9%,,,585,32.1%,
First Generation,No,908,66.8%,149,42.3%,62,55.9%,,,"1,119",61.4%,
Unknown,,41,3.0%,149,42.3%,32,28.8%,,,222,12.2%,
Yes,,411,30.2%,54,15.3%,17,15.3%,,,482,26.4%,
"Prepared by DARS, 2/20/2013",,,,,,,,,,,,
Page 8,,,,,,,,,,,,
