Fall 2006,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,,,199,-0.5%,,,,,199,-0.5%,
Gender,Female,,,81,-3.6%,,,,,81,-3.6%,
,Male,,,118,1.7%,,,,,118,1.7%,
Ethnicity,White,,,158,4.6%,,,,,158,4.6%,
,Black,,,6,-25.0%,,,,,6,-25.0%,
,Hispanic,,,17,-26.1%,,,,,17,-26.1%,
,Asian,,,4,33.3%,,,,,4,33.3%,
,American Indian,,,2,100.0%,,,,,2,100.0%,
,International,,,12,-7.7%,,,,,12,-7.7%,
,Unknown/Other,,,0,-100.0%,,,,,0,-100.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,,,4,100.0%,,,,,4,100.0%,
,22-25,,,111,8.8%,,,,,111,8.8%,
,26-30,,,47,-20.3%,,,,,47,-20.3%,
,31-39,,,23,-8.0%,,,,,23,-8.0%,
,40+,,,14,16.7%,,,,,14,16.7%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,36,2.9%,,,,,36,2.9%,
,1st Time Graduate,,,67,-5.6%,,,,,67,-5.6%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,,,,,,,,,
,Continuing,,,96,2.1%,,,,,96,2.1%,
Tuition,Resident Tuition,,,134,-1.5%,,,,,134,-1.5%,
Status,Non-Resident Tuition,,,7,40.0%,,,,,7,40.0%,
,Tuition  Exemption/Waiver,,,58,-1.7%,,,,,58,-1.7%,
Residency,Texas Resident,,,145,-2.0%,,,,,145,-2.0%,
Status,"Non-TX, US Resident",,,42,13.5%,,,,,42,13.5%,
,"Non-TX, Non-US Resident",,,12,-20.0%,,,,,12,-20.0%,
SCH,< 6 SCH,,,43,-4.4%,,,,,43,-4.4%,
Categories,6-8 SCH,,,20,17.6%,,,,,20,17.6%,
,9-11 SCH,,,14,-22.2%,,,,,14,-22.2%,
,12-14 SCH,,,119,1.7%,,,,,119,1.7%,
,15-17 SCH,,,3,0.0%,,,,,3,0.0%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,,,32,-27.3%,,,,,32,-27.3%,
"TAMU
Status","Half-Time
Three-Quarter Time",,,21,16.7%,,,,,21,16.7%,
,Full-Time,,,146,5.8%,,,,,146,5.8%,
"Prepared by OISP, 28 Nov 06",,,,,,,,,,,,
