Texas A&M University,,,,,,,,,,,
Office of Institutional Studies and Planning,,,,,,,,,,,
Demographic Summary by Housing,,,,,,,,,,,
Fall 2006,,,,,,,,,,,
Office of Institutional Studies and Planning Official Certified 12th Class Day Data,,,,,,,,,,,
"Fall 2006
Head Count       Total
Gender              Female Male
Ethnicity           White Black Hispanic Asian
American Indian International Unknown/Other
TAMU Age      <18
Categories         18-21
22-25
26-30
31-39
40+
College             Agriculture Architecture Business Admin Education Engineering
G. Bush School of Govt Geosciences
Liberal Arts Science
Veterinary Medicine General Studies
Other - Special Populations Enrollment        1st Time in College
Status                1st Time PB
1st Time Graduate 1st Time Professional 1st Time Transfer Readmitted Continuing
Tuition              Resident Tuition
Status                Non-Resident Tuition Tuition Exemption/Waiver
Residency         Texas Resident
Status                Non-TX, US Resident
Non-TX, Non-US Resident
SCH                  < 6 SCH
Categories         6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:                 Less Than Half Time
TAMU              Half-Time
Full-Time",Undergraduate,,Masters,,PhD,,,Professional,Grand Total,,
,Off-campus,Dorm,Off-campus,Dorm,Off-campus,,Dorm,Off-campus,Off-campus,Dorm,
,,(On-campus),,(On-campus),,(O,n-campus),,,(On-campus),
,"27,275","9,305","4,824",15,"3,450",,2,509,"36,058","9,322",
,"13,587","4,120","1,987",6,"1,379",,,377,"17,330","4,126",
,"13,688","5,185","2,837",9,"2,071",,2,132,"18,728","5,196",
,"22,235","6,711","2,676",9,"1,308",,,447,"26,666","6,720",
,664,381,153,,154,,,3,974,381,
,"2,804","1,531",337,3,231,,1,34,"3,406","1,535",
,963,486,152,1,83,,,17,"1,215",487,
,148,51,11,,17,,,1,177,51,
,376,113,"1,449",2,"1,613",,1,,"3,438",116,
,85,32,46,,44,,,7,182,32,
,30,46,,,,,,,30,46,
,"18,076","8,817",111,3,,,1,20,"18,207","8,821",
,"8,263",431,"2,658",11,284,,,301,"11,506",442,
,608,9,"1,252",1,"1,350",,,145,"3,355",10,
,193,,552,,"1,241",,1,35,"2,021",1,
,105,2,251,,575,,,8,939,2,
,"4,535",750,551,,497,,,,"5,583",750,
,"1,118",275,358,2,82,,1,,"1,558",278,
,"3,184",904,801,3,72,,,,"4,057",907,
,"3,605",507,545,,695,,,,"4,845",507,
,"4,714","2,543","1,262",7,937,,,,"6,913","2,550",
,,,197,2,,,,,197,2,
,334,140,146,,127,,,,607,140,
,"4,717","1,380",328,1,456,,1,,"5,501","1,382",
,"1,481",832,363,,365,,,,"2,209",832,
,"1,238",663,71,,62,,,509,"1,880",663,
,"2,332","1,285",,,,,,,"2,332","1,285",
,17,26,202,,157,,,,376,26,
,"2,459","5,345",,,,,,,"2,459","5,345",
,23,,220,1,,,,,243,1,
,,,"1,894",10,348,,,,"2,242",10,
,,,,,,,,131,131,,
,"1,534",137,,,,,,,"1,534",137,
,392,13,16,,23,,,,431,13,
,"22,867","3,810","2,694",4,"3,079",,2,378,"29,018","3,816",
,"25,961","8,466","2,580",13,"1,266",,1,468,"30,275","8,480",
,678,242,549,,386,,,7,"1,620",242,
,636,597,"1,695",2,"1,798",,1,34,"4,163",600,
,"26,192","8,646","2,638",12,"1,322",,1,473,"30,625","8,659",
,696,545,732,1,511,,,36,"1,975",546,
,387,114,"1,454",2,"1,617",,1,,"3,458",117,
,792,86,648,1,788,,,,"2,228",87,
,"1,036",33,407,,160,,,,"1,603",33,
,"1,523",52,"2,694",7,"2,381",,2,,"6,598",61,
,"12,954","4,474",734,6,103,,,,"13,791","4,480",
,"10,217","4,509",260,1,18,,,,"10,495","4,510",
,753,151,81,,,,,509,"1,343",151,
,682,86,465,,626,,,,"1,773",86,
,754,32,389,1,234,,,,"1,377",33,
,"1,409",48,,,,,,,"1,409",48,
,"24,430","9,139","3,970",14,"2,590",,2,509,"31,499","9,155",
"Prepared by OISP, 28 Nov 06",,,,,,,,,,,
