Fall 2006,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,43,10.3%,202,-6.9%,157,6.8%,,,402,-0.2%,
Gender,Female,15,7.1%,104,-1.9%,80,15.9%,,,199,5.3%,
,Male,28,12.0%,98,-11.7%,77,-1.3%,,,203,-5.1%,
Ethnicity,White,,,98,-5.8%,54,3.8%,,,152,-2.6%,
,Black,,,4,-20.0%,3,100.0%,,,7,40.0%,
,Hispanic,,,12,-7.7%,3,-25.0%,,,15,-11.8%,
,Asian,,,6,-25.0%,4,-33.3%,,,10,-28.6%,
,American Indian,,,,,,,,,,,
,International,43,10.3%,80,-7.0%,91,9.6%,,,214,2.9%,
,Unknown/Other,,,2,100.0%,2,0.0%,,,4,33.3%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,22,15.8%,7,40.0%,,,,,29,20.8%,
,22-25,19,0.0%,92,-10.7%,13,18.2%,,,124,-6.8%,
,26-30,2,100.0%,65,-5.8%,79,21.5%,,,146,8.1%,
,31-39,,,28,-6.7%,49,-18.3%,,,77,-14.4%,
,40+,,,10,0.0%,16,45.5%,,,26,23.8%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,34,-29.2%,,,,,34,-29.2%,
,1st Time Graduate,,,50,-2.0%,11,37.5%,,,61,3.4%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,0,-100.0%,,,,,0,-100.0%,
,Continuing,43,10.3%,118,0.9%,146,5.0%,,,307,4.1%,
Tuition,Resident Tuition,,,96,-6.8%,45,7.1%,,,141,-2.8%,
Status,Non-Resident Tuition,43,10.3%,34,13.3%,18,-10.0%,,,95,6.7%,
,Tuition  Exemption/Waiver,,,72,-14.3%,94,10.6%,,,166,-1.8%,
Residency,Texas Resident,,,96,-8.6%,46,9.5%,,,142,-3.4%,
Status,"Non-TX, US Resident",,,26,4.0%,20,0.0%,,,46,2.2%,
,"Non-TX, Non-US Resident",43,10.3%,80,-8.0%,91,7.1%,,,214,1.4%,
SCH,< 6 SCH,,,47,-21.7%,25,38.9%,,,72,-7.7%,
Categories,6-8 SCH,,,19,5.6%,2,0.0%,,,21,5.0%,
,9-11 SCH,,,114,9.6%,127,3.3%,,,241,6.2%,
,12-14 SCH,27,0.0%,20,-37.5%,3,0.0%,,,50,-19.4%,
,15-17 SCH,16,45.5%,2,-33.3%,0,-100.0%,,,18,20.0%,
,>17 SCH,0,-100.0%,,,,,,,0,-100.0%,
Ft/Pt:,Less Than Half Time,,,29,-38.3%,21,16.7%,,,50,-23.1%,
"TAMU
Status","Half-Time
Three-Quarter Time",,,28,-6.7%,5,150.0%,,,33,3.1%,
,Full-Time,43,10.3%,145,3.6%,131,3.1%,,,319,4.2%,
"Prepared by OISP, 28 Nov 06",,,,,,,,,,,,
