"Fall 2006
Headcount Total
TAMU Age                    18-21
Categories                      22-25
26-30
31-39
40+
Classification                  Freshman Sophomore Junior Senior
Tuition Status                 Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status            Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories              < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU                 Less Than Half Time
Status                              Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                   Yes
First Generation             No Unknown Yes
Dorm / Off-campus        Off-campus students                          Dorm (On-campus)",White,,,,,Black,,,,Hispanic,,,,,Asian,,,,,American Indian,,,International,,,Unknown/Other,,,Grand Total,,,,,,
,F,,M,,Tot,F,,M,Tot,F,,M,,Tot,F,,M,,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,,M,,Tot,,
,,32,,31,63,,4,,4,,6,,7,13,,3,,3,6,,1,1,3,2,5,,,,,48,,44,,92,
,,26,,26,52,,3,,3,,4,,3,7,,3,,3,6,,,,2,2,4,,,,,38,,34,,72,
,,3,,5,8,,1,,1,,2,,4,6,,,,,,,1,1,1,,1,,,,,7,,10,,17,
,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,
,,1,,1,2,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,2,,3,
,,15,,14,29,,1,,1,,3,,2,5,,2,,3,5,,,,,1,1,,,,,21,,20,,41,
,,14,,15,29,,2,,2,,3,,5,8,,1,,,1,,1,1,3,,3,,,,,23,,21,,44,
,,2,,1,3,,1,,1,,,,,,,,,,,,,,,,,,,,,3,,1,,4,
,,32,,29,61,,3,,3,,6,,6,12,,2,,3,5,,1,1,2,,2,,,,,45,,39,,84,
,,,,2,2,,1,,1,,,,,,,1,,,1,,,,,1,1,,,,,2,,3,,5,
,,,,,,,,,,,,,1,1,,,,,,,,,1,1,2,,,,,1,,2,,3,
,,32,,29,61,,3,,3,,6,,7,13,,3,,3,6,,1,1,,,,,,,,44,,40,,84,
,,,,2,2,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,2,,3,
,,,,,,,,,,,,,,,,,,,,,,,3,2,5,,,,,3,,2,,5,
,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,,22,,18,40,,3,,3,,5,,6,11,,3,,3,6,,1,1,2,,2,,,,,35,,28,,63,
,,8,,13,21,,1,,1,,1,,1,2,,,,,,,,,1,2,3,,,,,11,,16,,27,
,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,,31,,31,62,,4,,4,,6,,7,13,,3,,3,6,,1,1,3,2,5,,,,,47,,44,,91,
,,30,,29,59,,4,,4,,6,,7,13,,3,,3,6,,1,1,3,2,5,,,,,46,,42,,88,
,,2,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,4,
,,21,,23,44,,2,,2,,1,,5,6,,3,,3,6,,1,1,2,,2,,,,,29,,32,,61,
,,1,,1,2,,,,,,,,,,,,,,,,,,1,2,3,,,,,2,,3,,5,
,,10,,7,17,,2,,2,,5,,2,7,,,,,,,,,,,,,,,,17,,9,,26,
,,29,,27,56,,3,,3,,4,,7,11,,3,,3,6,,,,3,1,4,,,,,42,,38,,80,
,,3,,4,7,,1,,1,,2,,,2,,,,,,,1,1,,1,1,,,,,6,,6,,12,
"Prepared by OISP, 07 Dec 06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
