Fall 2006,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"4,088",0.7%,804,5.2%,72,12.5%,,,"4,964",1.6%,
Gender,Female,"2,217",0.5%,314,6.8%,28,12.0%,,,"2,559",1.3%,
,Male,"1,871",1.1%,490,4.3%,44,12.8%,,,"2,405",1.9%,
Ethnicity,White,"3,406",-2.0%,529,1.1%,31,3.3%,,,"3,966",-1.6%,
,Black,78,2.6%,19,-9.5%,3,200.0%,,,100,2.0%,
,Hispanic,400,27.8%,45,7.1%,2,0.0%,,,447,25.2%,
,Asian,146,5.0%,34,54.5%,2,100.0%,,,182,12.3%,
,American Indian,22,22.2%,2,100.0%,,,,,24,26.3%,
,International,28,3.7%,159,15.2%,32,14.3%,,,219,13.5%,
,Unknown/Other,8,0.0%,16,-5.9%,2,0.0%,,,26,-3.7%,
TAMU Age,<18,5,-44.4%,,,,,,,5,-44.4%,
Categories,18-21,"3,345",2.8%,27,50.0%,0,-100.0%,,,"3,372",3.0%,
,22-25,692,-8.0%,502,9.4%,1,0.0%,,,"1,195",-1.4%,
,26-30,26,52.9%,137,-8.1%,32,23.1%,,,195,1.6%,
,31-39,12,-7.7%,88,-6.4%,30,11.1%,,,130,-3.0%,
,40+,8,-33.3%,50,13.6%,9,0.0%,,,67,3.1%,
Enrollment,1st Time in College,862,6.8%,,,,,,,862,6.8%,
Status,1st Time PB,0,-100.0%,2,0.0%,,,,,2,-33.3%,
,1st Time Graduate,,,458,0.2%,11,0.0%,,,469,0.2%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,67,-31.6%,,,,,,,67,-31.6%,
,Readmitted,18,-10.0%,1,0.0%,,,,,19,-9.5%,
,Continuing,"3,141",0.3%,343,12.8%,61,15.1%,,,"3,545",1.6%,
Tuition,Resident Tuition,"3,953",0.5%,585,3.5%,19,35.7%,,,"4,557",1.0%,
Status,Non-Resident Tuition,52,15.6%,50,13.6%,5,66.7%,,,107,16.3%,
,Tuition  Exemption/Waiver,83,3.8%,169,9.0%,48,2.1%,,,300,6.4%,
Residency,Texas Resident,"3,989",0.7%,588,3.0%,24,33.3%,,,"4,601",1.1%,
Status,"Non-TX, US Resident",70,1.4%,55,0.0%,16,-5.9%,,,141,0.0%,
,"Non-TX, Non-US Resident",29,0.0%,161,16.7%,32,10.3%,,,222,13.3%,
SCH,< 6 SCH,36,63.6%,7,-12.5%,8,100.0%,,,51,50.0%,
Categories,6-8 SCH,52,-29.7%,8,-52.9%,1,0.0%,,,61,-33.7%,
,9-11 SCH,150,11.1%,242,0.0%,61,3.4%,,,453,3.9%,
,12-14 SCH,"2,158",-2.1%,265,18.8%,2,100.0%,,,"2,425",-0.1%,
,15-17 SCH,"1,627",3.4%,202,5.8%,,,,,"1,829",3.6%,
,>17 SCH,65,35.4%,80,-3.6%,,,,,145,10.7%,
Ft/Pt:,Less Than Half Time,26,44.4%,3,-62.5%,8,166.7%,,,37,27.6%,
"TAMU
Status","Half-Time
Three-Quarter Time","53
146","-28.4%
8.1%",8,-52.9%,0,-100.0%,,,"61
146","-34.4%
8.1%",
,Full-Time,"3,863",0.8%,793,7.3%,64,8.5%,,,"4,720",2.0%,
"Prepared by OISP, 28 Nov 06",,,,,,,,,,,,
