"Fall 2006
Headcount Total
TAMU Age                    18-21
Categories                      22-25
26-30
31-39
40+
Classification                  Freshman Sophomore Junior Senior
Tuition Status                 Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status            Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories              < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU                 Less Than Half Time
Status                              Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                   Yes
First Generation             No Unknown Yes
Dorm / Off-campus        Off-campus students                          Dorm (On-campus)",White,,,,,Black,,,,Hispanic,,,,Asian,,,,,American Indian,,,International,,,Unknown/Other,,,,Grand Total,,,,,,
,F,,M,,Tot,F,M,,Tot,F,M,,Tot,F,,M,,Tot,F,M,Tot,F,M,Tot,F,M,Tot,,F,,M,,Tot,,
,,11,,53,64,,,1,1,,,7,7,,1,,2,3,,,,1,1,2,,1,,1,,13,,65,,78,
,,11,,41,52,,,1,1,,,5,5,,,,2,2,,,,,1,1,,,,,,11,,50,,61,
,,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,7,
,,,,3,3,,,,,,,,,,1,,,1,,,,,,,,1,,1,,1,,4,,5,
,,,,1,1,,,,,,,2,2,,,,,,,,,1,,1,,,,,,1,,3,,4,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,8,8,,,,,,,1,1,,,,1,1,,,,,,,,,,,,,,10,,10,
,,10,,33,43,,,1,1,,,4,4,,1,,1,2,,,,,1,1,,,,,,11,,40,,51,
,,1,,11,12,,,,,,,2,2,,,,,,,,,,,,,1,,1,,1,,14,,15,
,,,,1,1,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,1,,2,
,,11,,47,58,,,1,1,,,7,7,,1,,2,3,,,,,,,,1,,1,,12,,58,,70,
,,,,6,6,,,,,,,,,,,,,,,,,1,1,2,,,,,,1,,7,,8,
,,11,,50,61,,,1,1,,,7,7,,1,,2,3,,,,,,,,1,,1,,12,,61,,73,
,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,
,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,1,,1,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,9,,39,48,,,,,,,7,7,,1,,2,3,,,,1,1,2,,,,,,11,,49,,60,
,,2,,11,13,,,1,1,,,,,,,,,,,,,,,,,1,,1,,2,,13,,15,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,11,,51,62,,,1,1,,,7,7,,1,,2,3,,,,1,1,2,,1,,1,,13,,63,,76,
,,10,,51,61,,,1,1,,,7,7,,1,,2,3,,,,1,1,2,,1,,1,,12,,63,,75,
,,1,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,3,
,,9,,38,47,,,1,1,,,2,2,,,,,,,,,,,,,1,,1,,9,,42,,51,
,,,,3,3,,,,,,,,,,,,,,,,,1,1,2,,,,,,1,,4,,5,
,,2,,12,14,,,,,,,5,5,,1,,2,3,,,,,,,,,,,,3,,19,,22,
,,10,,48,58,,,1,1,,,6,6,,,,1,1,,,,1,1,2,,1,,1,,11,,58,,69,
,,1,,5,6,,,,,,,1,1,,1,,1,2,,,,,,,,,,,,2,,7,,9,
"Prepared by OISP, 07 Dec 06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
