Fall 2006,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Veterinary,BIMS,"1,358",-7.5%,50,6.4%,302,7.9%,171,8.2%,14,40.0%,4,-50.0%,2,-50.0%,"1,901",-3.7%,
Medicine,EPID,8,14.3%,,,0,-100.0%,1,0.0%,,,,,,,9,0.0%,
,LAMD,2,-50.0%,1,100.0%,,,,,,,,,,,3,-25.0%,
,TOXI,,,,,,,,,,,1,100.0%,,,1,100.0%,
,VMSC,15,87.5%,,,4,300.0%,,,,,1,0.0%,,,20,100.0%,
,VPAR,2,0.0%,,,,,,,,,,,,,2,0.0%,
,VPAT,4,-42.9%,,,1,0.0%,,,,,5,0.0%,,,10,-23.1%,
,VPHY,7,40.0%,1,100.0%,0,-100.0%,1,0.0%,,,7,0.0%,,,16,14.3%,
,VTAN,12,9.1%,,,,,2,100.0%,,,9,50.0%,,,23,27.8%,
,VTMD,447,-1.5%,3,0.0%,34,13.3%,17,6.3%,1,0.0%,0,-100.0%,7,-22.2%,509,-1.0%,
,VTMI,19,-17.4%,2,0.0%,4,0.0%,1,100.0%,,,13,-7.1%,1,0.0%,40,-9.1%,
,VTMS,1,0.0%,,,,,0,-100.0%,,,,,,,1,-50.0%,
,VTPH,7,250.0%,,,,,,,1,100.0%,,,,,8,300.0%,
,Subtotal,"1,882",-5.5%,57,9.6%,345,8.5%,193,8.4%,16,45.5%,40,-4.8%,10,-28.6%,"2,543",-2.5%,
General,GEST,"2,363",-4.1%,133,8.1%,440,-10.4%,129,6.6%,22,37.5%,17,6.3%,5,0.0%,"3,109",-3.9%,
Studies,TEAM,420,-19.4%,15,275.0%,58,11.5%,6,-40.0%,7,133.3%,0,-100.0%,2,100.0%,508,-14.0%,
,Subtotal,"2,783",-6.8%,148,16.5%,498,-8.3%,135,3.1%,29,52.6%,17,0.0%,7,40.0%,"3,617",-5.5%,
Other -,AGBU,21,0.0%,,,1,-66.7%,,,,,8,-33.3%,,,30,-16.7%,
Special,BIOT,7,-36.4%,,,1,0.0%,2,-50.0%,,,13,225.0%,,,23,15.0%,
Populations,ENSM,11,57.1%,1,-50.0%,1,0.0%,1,100.0%,,,4,300.0%,,,18,63.6%,
,FSTC,10,-16.7%,,,3,-40.0%,1,-66.7%,,,20,-23.1%,,,34,-26.1%,
,GENE,34,3.0%,1,0.0%,1,0.0%,5,0.0%,,,18,-5.3%,1,0.0%,60,0.0%,
,MARM,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,MDSC,3,-50.0%,,,,,,,,,7,-41.7%,,,10,-44.4%,
,MEPS,15,36.4%,,,2,100.0%,,,,,23,9.5%,,,40,21.2%,
,MSEN,1,0.0%,2,100.0%,,,,,,,24,26.3%,,,27,35.0%,
,NUTR,17,21.4%,1,100.0%,2,0.0%,1,0.0%,,,11,10.0%,,,32,18.5%,
,PHLT,8,-46.7%,1,-50.0%,2,0.0%,,,,,4,-20.0%,1,0.0%,16,-36.0%,
,PPHY,,,,,,,,,,,0,-100.0%,,,0,-100.0%,
,REEP,,,,,,,,,,,61,8.9%,,,61,8.9%,
,TOXI,13,-13.3%,1,100.0%,1,0.0%,0,-100.0%,,,14,-26.3%,1,0.0%,30,-18.9%,
,WMHS,12,33.3%,,,1,100.0%,,,,,7,133.3%,1,100.0%,21,75.0%,
,Subtotal,152,-2.6%,7,40.0%,15,-11.8%,10,-28.6%,,,214,2.9%,4,33.3%,402,-0.2%,
Total,,"33,386",-0.1%,"1,355",8.1%,"4,941",8.8%,"1,702",12.6%,228,11.8%,"3,554",4.3%,214,-7.8%,"45,380",1.8%,
"Prepared by OISP, 28 Nov 06",,,,,,,,,,,,,,,,,,
