Fall 2006,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,901",-3.7%,71,16.4%,62,8.8%,509,-1.0%,"2,543",-2.5%,
Gender,Female,"1,279",-5.4%,51,13.3%,34,3.0%,377,-0.5%,"1,741",-3.8%,
,Male,622,-0.2%,20,25.0%,28,16.7%,132,-2.2%,802,0.5%,
Ethnicity,White,"1,358",-7.5%,51,27.5%,26,-13.3%,447,-1.5%,"1,882",-5.5%,
,Black,50,6.4%,3,200.0%,1,0.0%,3,0.0%,57,9.6%,
,Hispanic,302,7.9%,6,0.0%,3,50.0%,34,13.3%,345,8.5%,
,Asian,171,8.2%,2,-33.3%,3,200.0%,17,6.3%,193,8.4%,
,American Indian,14,40.0%,1,100.0%,,,1,0.0%,16,45.5%,
,International,4,-50.0%,8,-27.3%,28,27.3%,0,-100.0%,40,-4.8%,
,Unknown/Other,2,-50.0%,,,1,0.0%,7,-22.2%,10,-28.6%,
TAMU Age,<18,5,25.0%,,,,,,,5,25.0%,
Categories,18-21,"1,642",-4.0%,1,0.0%,,,20,17.6%,"1,663",-3.8%,
,22-25,244,-3.2%,38,11.8%,8,14.3%,301,-2.9%,591,-2.0%,
,26-30,7,0.0%,20,25.0%,26,8.3%,145,8.2%,198,9.4%,
,31-39,2,0.0%,11,22.2%,19,11.8%,35,-20.5%,67,-6.9%,
,40+,1,100.0%,1,0.0%,9,0.0%,8,-11.1%,19,0.0%,
Enrollment,1st Time in College,638,1.3%,,,,,,,638,1.3%,
Status,1st Time PB,1,100.0%,2,100.0%,,,,,3,200.0%,
,1st Time Graduate,,,30,3.4%,4,0.0%,,,34,3.0%,
,1st Time Professional,,,,,,,131,0.0%,131,0.0%,
,1st Time Transfer,9,-30.8%,,,,,,,9,-30.8%,
,Readmitted,7,133.3%,,,1,100.0%,,,8,166.7%,
,Continuing,"1,246",-6.2%,39,25.8%,57,7.5%,378,-1.3%,"1,720",-4.2%,
Tuition,Resident Tuition,"1,820",-3.1%,51,37.8%,24,9.1%,468,0.4%,"2,363",-1.7%,
Status,Non-Resident Tuition,25,8.7%,3,-25.0%,4,-42.9%,7,16.7%,39,-2.5%,
,Tuition  Exemption/Waiver,56,-23.3%,17,-15.0%,34,21.4%,34,-19.0%,141,-13.5%,
Residency,Texas Resident,"1,856",-3.6%,53,39.5%,26,8.3%,473,-0.2%,"2,408",-2.2%,
Status,"Non-TX, US Resident",41,-2.4%,10,-16.7%,8,-27.3%,36,-10.0%,95,-9.5%,
,"Non-TX, Non-US Resident",4,-50.0%,8,-27.3%,28,27.3%,,,40,-2.4%,
SCH,< 6 SCH,8,-20.0%,9,-35.7%,12,71.4%,,,29,-6.5%,
Categories,6-8 SCH,35,45.8%,13,116.7%,2,-33.3%,0,-100.0%,50,47.1%,
,9-11 SCH,44,-20.0%,45,25.0%,46,2.2%,,,135,-0.7%,
,12-14 SCH,886,16.7%,4,-20.0%,2,0.0%,,,892,16.4%,
,15-17 SCH,886,-18.4%,,,,,0,-100.0%,886,-18.5%,
,>17 SCH,42,2.4%,,,,,509,-0.6%,551,-0.4%,
Ft/Pt:,Less Than Half Time,8,-11.1%,3,-62.5%,12,140.0%,,,23,4.5%,
"TAMU
Status","Half-Time
Three-Quarter Time","33
42","43.5%
-23.6%",15,36.4%,2,-60.0%,0,-100.0%,"50
42","25.0%
-23.6%",
,Full-Time,"1,818",-3.7%,53,26.2%,48,2.1%,509,-0.8%,"2,428",-2.5%,
"Prepared by OISP, 28 Nov 06",,,,,,,,,,,,
