"Fall 2006
Headcount Total
TAMU Age                    18-21
Categories                      22-25
26-30
31-39
40+
Classification                  Freshman Sophomore Junior Senior
Tuition Status                 Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status            Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories              < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU                 Less Than Half Time
Status                              Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                   Yes
First Generation             No Unknown Yes
Dorm / Off-campus        Off-campus students                          Dorm (On-campus)",White,,,,,Black,,,,Hispanic,,,,,Asian,,,,,American Indian,,,International,,,Unknown/Other,,,,Grand Total,,,,,,
,F,,M,,Tot,F,M,,Tot,F,,M,,Tot,F,,M,,Tot,F,M,Tot,F,M,Tot,F,M,Tot,,F,,M,,Tot,,
,,33,,32,65,,,3,3,,3,,3,6,,4,,3,7,,,,,,,,1,,1,,40,,42,,82,
,,32,,27,59,,,3,3,,3,,3,6,,4,,3,7,,,,,,,,1,,1,,39,,37,,76,
,,1,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,5,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,5,,7,12,,,,,,1,,1,2,,1,,,1,,,,,,,,1,,1,,7,,9,,16,
,,28,,25,53,,,3,3,,2,,1,3,,3,,3,6,,,,,,,,,,,,33,,32,,65,
,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,1,
,,32,,31,63,,,3,3,,2,,3,5,,4,,3,7,,,,,,,,1,,1,,38,,41,,79,
,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,1,
,,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,2,
,,32,,31,63,,,3,3,,2,,3,5,,4,,3,7,,,,,,,,1,,1,,38,,41,,79,
,,1,,1,2,,,,,,1,,,1,,,,,,,,,,,,,,,,,2,,1,,3,
,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,,14,,15,29,,,,,,1,,1,2,,2,,2,4,,,,,,,,,,,,17,,18,,35,
,,18,,17,35,,,3,3,,2,,2,4,,2,,1,3,,,,,,,,1,,1,,22,,24,,46,
,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,,32,,32,64,,,3,3,,3,,3,6,,4,,3,7,,,,,,,,1,,1,,39,,42,,81,
,,27,,29,56,,,2,2,,3,,2,5,,4,,3,7,,,,,,,,1,,1,,34,,37,,71,
,,6,,3,9,,,1,1,,,,1,1,,,,,,,,,,,,,,,,,6,,5,,11,
,,20,,24,44,,,1,1,,1,,2,3,,4,,2,6,,,,,,,,,,,,25,,29,,54,
,,13,,8,21,,,2,2,,2,,1,3,,,,1,1,,,,,,,,1,,1,,15,,13,,28,
,,31,,31,62,,,2,2,,3,,3,6,,2,,3,5,,,,,,,,1,,1,,36,,40,,76,
,,2,,1,3,,,1,1,,,,,,,2,,,2,,,,,,,,,,,,4,,2,,6,
"Prepared by OISP, 07 Dec 06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
