Fall 2006,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"6,097",-1.3%,329,-6.3%,457,13.4%,,,"6,883",-0.7%,
Gender,Female,"3,650",-1.6%,182,10.3%,218,13.0%,,,"4,050",-0.4%,
,Male,"2,447",-0.9%,147,-21.0%,239,13.8%,,,"2,833",-1.2%,
Ethnicity,White,"4,899",-2.8%,195,-4.9%,244,3.0%,,,"5,338",-2.6%,
,Black,196,14.6%,14,0.0%,19,171.4%,,,229,19.3%,
,Hispanic,767,3.2%,43,0.0%,41,20.6%,,,851,3.8%,
,Asian,157,14.6%,20,17.6%,10,100.0%,,,187,17.6%,
,American Indian,28,7.7%,,,3,0.0%,,,31,6.9%,
,International,27,-27.0%,54,-16.9%,127,22.1%,,,208,1.0%,
,Unknown/Other,23,-8.0%,3,-57.1%,13,0.0%,,,39,-13.3%,
TAMU Age,<18,9,12.5%,,,,,,,9,12.5%,
Categories,18-21,"4,272",1.8%,7,133.3%,1,100.0%,,,"4,280",1.9%,
,22-25,"1,664",-6.8%,169,3.0%,39,14.7%,,,"1,872",-5.6%,
,26-30,91,-23.5%,84,-14.3%,182,23.0%,,,357,-2.2%,
,31-39,36,-18.2%,41,-32.8%,167,7.1%,,,244,-6.5%,
,40+,25,0.0%,28,12.0%,68,4.6%,,,121,5.2%,
Enrollment,1st Time in College,827,1.6%,,,,,,,827,1.6%,
Status,1st Time PB,3,100.0%,13,30.0%,,,,,16,60.0%,
,1st Time Graduate,,,137,12.3%,57,62.9%,,,194,23.6%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,380,19.5%,,,,,,,380,19.5%,
,Readmitted,73,-5.2%,0,-100.0%,3,50.0%,,,76,-5.0%,
,Continuing,"4,814",-3.2%,179,-17.9%,397,8.5%,,,"5,390",-3.0%,
Tuition,Resident Tuition,"5,745",-1.2%,150,-1.3%,190,13.8%,,,"6,085",-0.8%,
Status,Non-Resident Tuition,150,2.7%,41,-6.8%,52,-13.3%,,,243,-2.8%,
,Tuition  Exemption/Waiver,202,-9.0%,138,-11.0%,215,22.2%,,,555,0.4%,
Residency,Texas Resident,"5,820",-1.2%,158,-1.3%,195,12.7%,,,"6,173",-0.8%,
Status,"Non-TX, US Resident",247,-2.0%,117,-6.4%,135,8.9%,,,499,-0.4%,
,"Non-TX, Non-US Resident",30,-25.0%,54,-18.2%,127,19.8%,,,211,-0.5%,
SCH,< 6 SCH,53,-19.7%,42,-26.3%,110,-15.4%,,,205,-19.0%,
Categories,6-8 SCH,168,0.6%,15,15.4%,15,7.1%,,,198,2.1%,
,9-11 SCH,331,-7.0%,268,8.5%,324,31.7%,,,923,8.7%,
,12-14 SCH,"2,552",2.9%,4,-88.2%,7,-41.7%,,,"2,563",1.5%,
,15-17 SCH,"2,766",-3.8%,,,1,0.0%,,,"2,767",-3.8%,
,>17 SCH,227,-4.2%,,,,,,,227,-4.2%,
Ft/Pt:,Less Than Half Time,45,-25.0%,29,-37.0%,87,-15.5%,,,161,-23.0%,
"TAMU
Status","Half-Time
Three-Quarter Time","161
316","-1.8%
-8.9%",17,-29.2%,31,-22.5%,,,"209
316","-8.3%
-8.9%",
,Full-Time,"5,575",-0.6%,283,0.7%,339,30.4%,,,"6,197",0.8%,
"Prepared by OISP, 28 Nov 06",,,,,,,,,,,,
