Texas A&M University,,,,,,,,,,,,
Office of Institutional Studies and Planning,,,,,,,,,,,,
Demographic Summary by Entry Status,,,,,,,,,,,,
Fall 2006,,,,,,,,,,,,
Office of Institutional Studies and Planning Official Certified 12th Class Day Data,,,,,,,,,,,,
"Fall 2006
Head Count       Total
Gender               Female Male
Ethnicity            White Black Hispanic Asian
American Indian International Unknown/Other
TAMU Age       <18
Categories         18-21
22-25
26-30
31-39
40+
College              Agriculture Architecture Business Admin Education Engineering
G. Bush School of Govt Geosciences
Liberal Arts Science
Veterinary Medicine General Studies
Other - Special Populations
Student              Lower
Level                 Upper Masters PhD Professional
Tuition               Resident Tuition
Status                 Non-Resident Tuition Tuition Exemption/Waiver
Residency          Texas Resident
Status                 Non-TX, US Resident
Non-TX, Non-US Resident
SCH                   < 6 SCH
Categories         6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:                  Less Than Half Time
TAMU               Half-Time
Full-Time",Undergraduate,,,,,Graduate,,,,Professional,,
,"1st Time in College
7,804
3,911
3,893
5,875
280
1,102
399
53
64
31
71
7,727
4
2
530
187
862
452
1,974
77
827
764
638
1,493
7,775
29
7,148
217
439
7,386
350
68
296
15
21
3,992
3,463
17
296
15
17
7,476","1st Time PB
23
16
7
21
1
1
14
5
2
2
8
2
4
2
3
3
1
23
22
1
22
1
2
1
4
10
6
2
1
4
16","1st Time Transfer
1,671
761
910
1,327
30
173
56
12
63
10
1,358
222
61
20
10
381
78
67
281
269
32
380
92
9
82
1,040
631
1,515
105
51
1,544
62
65
5
37
73
886
662
8
5
37
69
1,560","Readmitted
405
149
256
335
12
39
16
2
1
116
200
64
15
10
100
14
18
44
57
15
73
14
7
63
123
282
396
6
3
399
5
1
23
38
37
200
96
11
23
35
36
311","Continuing
26,677
12,870
13,807
21,388
723
3,020
978
132
360
76
5
17,692
8,254
487
156
83
4,266
1,114
3,141
3,333
4,953
348
4,814
1,440
1,246
1,979
43
8,030
18,647
25,346
592
739
25,487
824
366
552
978
1,440
12,340
10,499
868
442
698
1,331
24,206",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Professional,Continuing,
,,,,,,221,"2,252",39,"5,779",131,378,
,,,,,,126,941,17,"2,288",102,275,
,,,,,,95,"1,311",22,"3,491",29,103,
,,,,,,149,"1,084",26,"2,734",112,335,
,,,,,,14,65,3,225,1,2,
,,,,,,18,134,4,416,11,23,
,,,,,,3,68,1,164,3,14,
,,,,,,,6,,22,,1,
,,,,,,36,879,5,"2,145",,,
,,,,,,1,16,,73,4,3,
,,,,,,12,91,,12,18,2,
,,,,,,99,"1,289",2,"1,563",86,215,
,,,,,,47,535,7,"2,014",22,123,
,,,,,,34,237,21,"1,502",3,32,
,,,,,,29,100,9,688,2,6,
,,,,,,19,239,8,782,,,
,,,,,,5,145,3,290,,,
,,,,,,2,469,1,404,,,
,,,,,,70,221,9,940,,,
,,,,,,23,609,9,"1,565",,,
,,,,,,36,67,,96,,,
,,,,,,3,60,1,209,,,
,,,,,,13,194,3,576,,,
,,,,,,14,153,4,557,,,
,,,,,,2,34,1,96,131,378,
,,,,,,34,61,,264,,,
,,,,,,221,"1,904",16,"2,698",,,
,,,,,,,348,23,"3,081",,,
,,,,,,,,,,131,378,
,,,,,,173,"1,002",30,"2,655",123,345,
,,,,,,29,278,8,620,,7,
,,,,,,19,972,1,"2,504",8,26,
,,,,,,179,"1,029",29,"2,736",123,350,
,,,,,,6,340,5,893,8,28,
,,,,,,36,883,5,"2,150",,,
,,,,,,122,68,25,"1,222",,,
,,,,,,57,130,4,376,,,
,,,,,,31,"1,436",7,"3,610",,,
,,,,,,10,374,3,456,,,
,,,,,,1,168,,110,,,
,,,,,,,76,,5,131,378,
,,,,,,85,34,22,950,,,
,,,,,,59,105,4,456,,,
,,,,,,77,"2,113",13,"4,373",131,378,
"Prepared by OISP, 28 Nov 06",,,,,,,,,,,,
