Fall 2006,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
G. Bush,BUSH,48,0.0%,61,-6.2%,28,7.7%,,,61,-6.2%,
"School of
Govt",CAIA CHLS,,,"30
25","172.7%
127.3%",,,,,"30
25","172.7%
127.3%",
,INTA,,,83,-26.5%,,,,,83,-26.5%,
,Subtotal,,,199,-0.5%,,,,,199,-0.5%,
Geosciences,ATMO,,,33,3.1%,,,,,61,5.2%,
,ENGS,,,,,,,,,48,0.0%,
,ENST,37,12.1%,,,,,,,37,12.1%,
,ESCI,1,0.0%,,,,,,,1,0.0%,
,GEOG,112,-11.1%,31,10.7%,29,7.4%,,,172,-5.0%,
,GEOL,104,14.3%,35,-22.2%,26,-3.7%,,,165,1.2%,
,GEOP,21,0.0%,10,-33.3%,11,-15.4%,,,42,-14.3%,
,GEOS,,,2,-33.3%,,,,,2,-33.3%,
,METR,144,-2.7%,1,0.0%,,,,,145,-2.7%,
,OCNG,,,34,-12.8%,33,26.9%,,,67,3.1%,
,SPSG,7,600.0%,,,,,,,7,600.0%,
,Subtotal,474,1.1%,146,-10.4%,127,6.7%,,,747,-0.5%,
Liberal Arts,AMST,15,-48.3%,,,,,,,15,-48.3%,
,ANTH,133,20.9%,67,-15.2%,46,21.1%,,,246,8.4%,
,COML,,,5,0.0%,,,,,5,0.0%,
,COMM,723,100.0%,27,100.0%,42,100.0%,,,792,100.0%,
,ECON,473,-4.3%,55,3.8%,68,36.0%,,,596,-0.2%,
,ENGL,702,-1.7%,36,16.1%,84,12.0%,,,822,0.2%,
,FREN,16,-5.9%,,,,,,,16,-5.9%,
,GERM,3,-57.1%,,,,,,,3,-57.1%,
,HISP,,,3,-25.0%,14,16.7%,,,17,6.3%,
,HIST,691,-0.3%,30,-16.7%,43,2.4%,,,764,-0.9%,
,INTS,463,14.0%,,,,,,,463,14.0%,
,JOUR,8,-82.6%,,,,,,,8,-82.6%,
,MODL,,,6,-14.3%,,,,,6,-14.3%,
,MUSC,32,18.5%,,,,,,,32,18.5%,
,PHIL,114,12.9%,15,-31.8%,8,33.3%,,,137,6.2%,
,POLS,939,-3.8%,12,-29.4%,54,5.9%,,,"1,005",-3.7%,
,PSYC,"1,070",-10.4%,39,0.0%,44,-12.0%,,,"1,153",-10.1%,
,RUSS,6,-14.3%,,,,,,,6,-14.3%,
,SCOM,0,-100.0%,0,-100.0%,0,-100.0%,,,0,-100.0%,
,SOCI,354,6.9%,33,13.8%,51,10.9%,,,438,7.9%,
,SPAN,97,-11.0%,1,100.0%,3,100.0%,,,101,-7.3%,
,STJR,,,0,-100.0%,,,,,0,-100.0%,
,TCMS,204,56.9%,,,,,,,204,56.9%,
,THAR,54,-18.2%,,,,,,,54,-18.2%,
,Subtotal,"6,097",-1.3%,329,-6.3%,457,13.4%,,,"6,883",-0.7%,
"Prepared by OISP, 28 Nov 06",,,,,,,,,,,,
