Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Afghanistan,1,,,,1,
Albania,,1,,,1,
Algeria,,,1,,1,
Angola,,1,,,1,
Antigua and Barbuda,,,1,,1,
Argentina,3,4,8,,15,
Armenia,1,,2,,3,
Australia,3,2,,,5,
Austria,1,1,2,,4,
Azerbaijan,,4,,,4,
Bahrain,,2,,,2,
Bangladesh,7,9,8,,24,
Barbados,1,1,,,2,
Belarus,1,1,3,,5,
Belgium,1,,,,1,
Belize (British Honduras),1,1,,,2,
Bolivia,11,3,1,,15,
Bosnia-Herzegovina,1,,,,1,
Botswana,,,2,,2,
Brazil,4,11,17,,32,
British Virgin Islands,,1,,,1,
Bulgaria,,1,6,,7,
Burma (Myanmar),,,1,,1,
Cambodia  (Kampuchea),,1,,,1,
Cameroon,4,3,1,,8,
Canada,14,10,25,,49,
Cayman Islands,1,,,,1,
Chile,,3,8,,11,
"China, People's Rep of",18,226,383,,627,
Colombia,6,21,29,,56,
Costa Rica,7,,,,7,
Cote d'Ivoire (Ivory Coast),1,1,1,,3,
Croatia,1,,,,1,
Cuba,,1,,,1,
Cyprus,1,,,,1,
Czech Republic,,2,,,2,
Dem Republic of Congo (Ziare),,,1,,1,
Denmark,3,5,1,,9,
Dominica,,,1,,1,
Dominican Republic,2,1,2,,5,
Ecuador,8,10,5,,23,
Egypt (A.R.E.),2,3,12,,17,
El Salvador,4,3,1,,8,
Equatorial Guinea,4,,,,4,
Eritrea,,,1,,1,
Estonia,1,,2,,3,
