"Fall 2006
Headcount Total
TAMU Age                    18-21
Categories                      22-25
26-30
31-39
40+
Classification                  Freshman Sophomore Junior Senior
Tuition Status                 Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status            Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories              < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU                 Less Than Half Time
Status                              Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                   Yes
First Generation             No Unknown Yes
Dorm / Off-campus        Off-campus students                          Dorm (On-campus)",White,,,,Black,,,,,Hispanic,,,,,Asian,,,,,American Indian,,,International,,,Unknown/Other,,,,Grand Total,,,,,
,F,M,,Tot,F,,M,,Tot,F,,M,,Tot,F,,M,,Tot,F,M,Tot,F,M,Tot,F,M,Tot,,F,M,,Tot,,
,162,,76,238,,3,,1,4,,23,,9,32,,1,,2,3,2,,2,,,,2,,,2,193,,88,,281,
,142,,58,200,,3,,1,4,,12,,5,17,,1,,1,2,1,,1,,,,2,,,2,161,,65,,226,
,12,,15,27,,,,,,,6,,3,9,,,,1,1,,,,,,,,,,,18,,19,,37,
,4,,3,7,,,,,,,3,,,3,,,,,,1,,1,,,,,,,,8,,3,,11,
,1,,,1,,,,,,,2,,,2,,,,,,,,,,,,,,,,3,,,,3,
,3,,,3,,,,,,,,,1,1,,,,,,,,,,,,,,,,3,,1,,4,
,9,,2,11,,,,,,,1,,1,2,,,,,,,,,,,,,,,,10,,3,,13,
,86,,50,136,,2,,1,3,,10,,2,12,,,,1,1,2,,2,,,,,,,,100,,54,,154,
,66,,22,88,,1,,,1,,12,,6,18,,,,,,,,,,,,2,,,2,81,,28,,109,
,1,,2,3,,,,,,,,,,,,1,,1,2,,,,,,,,,,,2,,3,,5,
,158,,74,232,,3,,1,4,,22,,9,31,,1,,2,3,2,,2,,,,2,,,2,188,,86,,274,
,3,,1,4,,,,,,,1,,,1,,,,,,,,,,,,,,,,4,,1,,5,
,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,2,
,160,,75,235,,3,,1,4,,22,,9,31,,1,,2,3,2,,2,,,,2,,,2,190,,87,,277,
,2,,1,3,,,,,,,1,,,1,,,,,,,,,,,,,,,,3,,1,,4,
,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,,,,1,
,6,,3,9,,,,,,,1,,,1,,,,,,,,,,,,,,,,7,,3,,10,
,6,,5,11,,,,,,,,,1,1,,,,,,,,,,,,,,,,6,,6,,12,
,64,,44,108,,1,,,1,,13,,2,15,,1,,1,2,1,,1,,,,,,,,80,,47,,127,
,83,,24,107,,2,,1,3,,9,,6,15,,,,1,1,,,,,,,1,,,1,95,,32,,127,
,3,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,1,4,,,,4,
,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,,,,1,
,6,,3,9,,,,,,,1,,,1,,,,,,,,,,,,,,,,7,,3,,10,
,6,,5,11,,,,,,,,,1,1,,,,,,,,,,,,,,,,6,,6,,12,
,150,,68,218,,3,,1,4,,22,,8,30,,1,,2,3,1,,1,,,,2,,,2,179,,79,,258,
,151,,75,226,,3,,1,4,,23,,8,31,,1,,2,3,2,,2,,,,2,,,2,182,,86,,268,
,11,,1,12,,,,,,,,,1,1,,,,,,,,,,,,,,,,11,,2,,13,
,102,,50,152,,1,,,1,,8,,2,10,,1,,1,2,2,,2,,,,1,,,1,115,,53,,168,
,3,,1,4,,,,1,1,,1,,1,2,,,,1,1,,,,,,,,,,,4,,4,,8,
,57,,25,82,,2,,,2,,14,,6,20,,,,,,,,,,,,1,,,1,74,,31,,105,
,153,,74,227,,3,,1,4,,23,,9,32,,1,,1,2,2,,2,,,,1,,,1,183,,85,,268,
,9,,2,11,,,,,,,,,,,,,,1,1,,,,,,,1,,,1,10,,3,,13,
"Prepared by OISP, 07 Dec 06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
