Office of Institutional Studies and Planning,,,,,,,
Graduate Students,,,,,,,
Fall 2006,,,,,,,
Official Certified 12th Class Day Data,,,,,,,
Fall 2006,,"G6: PB
Non-Degree","G7:
Masters","G8:
Doctoral","G9: GR
Conditional",Grand Total,
Head Count,Total,321,"4,484","3,452",34,"8,291",
Gender,Female,159,"1,822","1,379",12,"3,372",
,Male,162,"2,662","2,073",22,"4,919",
Ethnicity,White,220,"2,457","1,308",8,"3,993",
,Black,15,138,154,,307,
,Hispanic,28,310,232,2,572,
,Asian,8,145,83,,236,
,American Indian,1,9,17,1,28,
,International,45,"1,383","1,614",23,"3,065",
,Unknown/Other,4,42,44,,90,
TAMU Age,18-21,12,101,1,1,115,
Categories,22-25,120,"2,539",284,10,"2,953",
,26-30,79,"1,161","1,350",13,"2,603",
,31-39,59,486,"1,242",7,"1,794",
,40+,51,197,575,3,826,
College,Agriculture,29,515,497,7,"1,048",
,Architecture,8,351,83,1,443,
,Business Admin,2,802,72,,876,
,Education,92,450,695,3,"1,240",
,Engineering,36,"1,220",937,13,"2,206",
,G. Bush School of Govt,63,136,,,199,
,Geosciences,3,142,127,1,273,
,Liberal Arts,19,308,457,2,786,
,Science,22,335,365,6,728,
,Veterinary Medicine,2,68,62,1,133,
,Other - Special Populations,45,157,157,,359,
Enrollment,1st Time PB,221,,,,221,
Status,1st Time Graduate,,"1,904",348,,"2,252",
,Readmitted,1,15,23,,39,
,Continuing,99,"2,565","3,081",34,"5,779",
Tuition Status,Resident Tuition,254,"2,330","1,267",9,"3,860",
,Non-Resident Tuition,38,504,386,7,935,
,Tuition Exemption/Waiver,29,"1,650","1,799",18,"3,496",
Residency,Texas Resident,265,"2,376","1,323",9,"3,973",
Status,"Non-TX, US Resident",11,720,511,2,"1,244",
,"Non-TX, Non-US Resident",45,"1,388","1,618",23,"3,074",
SCH,< 6 SCH,179,469,788,1,"1,437",
Categories,6-8 SCH,80,325,160,2,567,
,9-11 SCH,45,"2,627","2,383",29,"5,084",
,12-14 SCH,15,723,103,2,843,
,15-17 SCH,2,259,18,,279,
,>17 SCH,,81,,,81,
Ft/Pt: TAMU,Less Than Half Time,127,338,626,,"1,091",
Status,Half-Time,86,301,234,3,624,
,Full-Time,108,"3,845","2,592",31,"6,576",
"Prepared by OISP, 28 Nov 06",,,,,,,
