"Fall 2006
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine         VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies       GEST
Subtotal Other - Special        CLMD Populations             COFD
SABX SRPH
Subtotal
University               Total",Undergraduate,,,,,Masters,,,,PhD,,,Professional,,Total,
,"1st Time in College
19
86
135
36
83
2
10
77
11
175
19
152
22
827
585
78
69
32
764
638
638
1,493
1,493
7,804","1st Time PB
1
1
1
3
3
3
1
1
23","1st Time Transfer
10
20
65
54
27
1
42
6
47
7
79
22
380
72
8
7
5
92
9
9
82
82
1,671","Readmitted
3
6
8
7
15
5
11
2
10
6
73
7
1
5
1
14
7
7
63
63
405","Continuing
104
377
721
375
585
23
85
556
92
706
58
828
304
4,814
1,000
185
180
75
1,440
1,246
1,246
1,979
1,979
43
43
26,677",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Professional,Continuing,,
,,,,,,2,16,2,49,5,1,41,131,378,246,
,,,,,,,2,,3,,,,,,491,
,,,,,,1,14,,12,3,,38,,,996,
,,,,,,,30,,25,14,,54,,,596,
,,,,,,2,20,,14,10,1,73,,,822,
,,,,,,,,,,,,,,,25,
,,,,,,1,5,,4,3,,14,,,124,
,,,,,,2,8,,20,5,,38,,,764,
,,,,,,,11,,4,2,,6,,,137,
,,,,,,2,6,,4,5,,49,,,"1,005",
,,,,,,,,,,,,,,,86,
,,,,,,,12,,27,2,,42,,,"1,153",
,,,,,,3,13,,17,8,1,42,,,438,
,,,,,,13,137,,179,57,3,397,,,"6,883",
,,,,,,5,18,,34,2,,43,,,"1,769",
,,,,,,3,36,,89,3,1,132,,,536,
,,,,,,6,13,,43,9,1,47,,,382,
,,,,,,,22,,37,11,,80,,,263,
,,,,,,,28,,27,11,,25,,,91,
,,,,,,14,117,2,230,36,2,327,,,"3,041",
,,,,,,1,,,,,,,,,"2,411",
,,,,,,,9,,14,2,,16,,,41,
,,,,,,,,,4,,,,,,4,
,,,,,,,2,,1,,,,,,3,
,,,,,,1,16,,18,1,1,30,,,67,
,,,,,,,3,,2,1,,11,,,17,
,,,,,,2,30,,39,4,1,57,131,378,"2,543",
,,,,,,,,,,,,,,,"3,617",
,,,,,,,,,,,,,,,"3,617",
,,,,,,8,,,2,,,,,,10,
,,,,,,1,50,,107,11,,146,,,315,
,,,,,,15,,,3,,,,,,61,
,,,,,,10,,,6,,,,,,16,
,,,,,,34,50,,118,11,,146,,,402,
,,,,,,221,"1,904",16,"2,698",348,23,"3,081",131,378,"45,380",
"Prepared by OISP, 28 Nov 06",,,,,,,,,,,,,,,,
